id,name,description,cve,processed
CAPEC-1000,Mechanisms of Attack,view organize attack pattern hierarchically base mechanism frequently employ exploit vulnerability category member view represent different technique attack system represent consequence goal attack exist potential attack pattern align category depend perspective counter emphasis place attack pattern present category use technique exception,[],view organize attack pattern hierarchically base mechanism frequently employ exploit vulnerability category member view represent different technique attack system represent consequence goal attack exist potential attack pattern align category depend perspective counter emphasis place attack pattern present category use technique exception
CAPEC-118,Collect and Analyze Information,attack pattern category focus gathering collection theft information adversary adversary collect information variety method include active querying passive observation exploit weakness design configuration target communication adversary able target reveal information intend information retrieve aid adversary make inference potential weakness vulnerability technique assist adversary objective information include detail configuration capability target clue timing nature activity sensitive information sort attack undertake preparation type attack collection information case end goal adversary,[],attack pattern category focus gathering collection theft information adversary adversary collect information variety method include active querying passive observation exploit weakness design configuration target communication adversary able target reveal information intend information retrieve aid adversary make inference potential weakness vulnerability technique assist adversary objective information include detail configuration capability target clue timing nature activity sensitive information sort attack undertake preparation type attack collection information case end goal adversary
CAPEC-152,Inject Unexpected Items,attack pattern category focus ability control disrupt behavior target craft datum submit interface datum input installation execution malicious code target system happen adversary add material input interpret application cause target application perform step unintended application manager cause application enter unstable state attack type differ data structure attacks attack subvert underlie structure hold user provide datum pre empte interpretation input case buffer overflows result value target application unable handle correctly case integer overflows injection attack input interpret application attacker include instruction interpret function target application follow,[],attack pattern category focus ability control disrupt behavior target craft datum submit interface datum input installation execution malicious code target system happen adversary add material input interpret application cause target application perform step unintended application manager cause application enter unstable state attack type differ data structure attacks attack subvert underlie structure hold user provide datum pre empte interpretation input case buffer overflows result value target application unable handle correctly case integer overflows injection attack input interpret application attacker include instruction interpret function target application follow
CAPEC-156,Engage in Deceptive Interactions,attack pattern category focus malicious interaction target attempt deceive target convince target interact principal action base level trust exist target principal type attack assume piece content functionality associate identity content functionality trust target association identify term spoofing type attack rely falsification content identity way target incorrectly trust legitimacy content example attacker modify financial transaction party participant remain unchanged transaction increase recipient detect change incorrectly assume modify message originate original sender attack type involve adversary craft content scratch capture modify legitimate content,[],attack pattern category focus malicious interaction target attempt deceive target convince target interact principal action base level trust exist target principal type attack assume piece content functionality associate identity content functionality trust target association identify term spoofing type attack rely falsification content identity way target incorrectly trust legitimacy content example attacker modify financial transaction party participant remain unchanged transaction increase recipient detect change incorrectly assume modify message originate original sender attack type involve adversary craft content scratch capture modify legitimate content
CAPEC-172,Manipulate Timing and State,attacker exploit weakness timing state maintain function perform action prevent execution flow target code process example state attack include manipulation application information change apparent credential similar information possibly allow application access material normally allow access common example timing attack test action race condition state information test pass action perform attacker change state time application perform test time action perform able manipulate outcome action malicious end,[],attacker exploit weakness timing state maintain function perform action prevent execution flow target code process example state attack include manipulation application information change apparent credential similar information possibly allow application access material normally allow access common example timing attack test action race condition state information test pass action perform attacker change state time application perform test time action perform able manipulate outcome action malicious end
CAPEC-210,Abuse Existing Functionality,adversary use manipulate function application order achieve malicious objective originally intend application deplete resource point target functionality affect broad class attack adversary able alter intend result purpose functionality affect application behavior information integrity outcome range information exposure vandalism degrading denial service execution arbitrary code target machine,[],adversary use manipulate function application order achieve malicious objective originally intend application deplete resource point target functionality affect broad class attack adversary able alter intend result purpose functionality affect application behavior information integrity outcome range information exposure vandalism degrading denial service execution arbitrary code target machine
CAPEC-223,Employ Probabilistic Techniques,attacker utilize probabilistic technique explore overcome security property target base assumption strength extremely low mathematical probability attacker able identify exploit rare specific condition security property hold,[],attacker utilize probabilistic technique explore overcome security property target base assumption strength extremely low mathematical probability attacker able identify exploit rare specific condition security property hold
CAPEC-225,Subvert Access Control,attacker actively target exploitation weakness limitation assumption mechanism target utilize manage identity authentication manage access resource authorize functionality exploitation lead complete subversion trust target system identity entity interact complete subversion control target datum functionality weakness target subversion authorization control primary factor fundamental dependence authentication mechanism effective lack effective control separation privilege entity assumption confidence strength rigor implement authorization mechanism,[],attacker actively target exploitation weakness limitation assumption mechanism target utilize manage identity authentication manage access resource authorize functionality exploitation lead complete subversion trust target system identity entity interact complete subversion control target datum functionality weakness target subversion authorization control primary factor fundamental dependence authentication mechanism effective lack effective control separation privilege entity assumption confidence strength rigor implement authorization mechanism
CAPEC-255,Manipulate Data Structures,attack pattern category manipulate exploit characteristic system datum structure order violate intend usage protection structure way yield improper access associate system datum violation security property system vulnerability system process manage data structure vulnerability exploitability data structure exist ambiguity assumption design prescribe handling,[],attack pattern category manipulate exploit characteristic system datum structure order violate intend usage protection structure way yield improper access associate system datum violation security property system vulnerability system process manage data structure vulnerability exploitability data structure exist ambiguity assumption design prescribe handling
CAPEC-262,Manipulate System Resources,attack pattern category focus adversary ability manipulate resource order achieve desire outcome broad class attack attacker able change aspect resource state availability affect system behavior information integrity example resource include file application library infrastructure configuration information outcome range vandalism reduction service execution arbitrary code target machine,[],attack pattern category focus adversary ability manipulate resource order achieve desire outcome broad class attack attacker able change aspect resource state availability affect system behavior information integrity example resource include file application library infrastructure configuration information outcome range vandalism reduction service execution arbitrary code target machine
CAPEC-1,Accessing Functionality Not Properly Constrained by ACLs,application particularly web application access functionality mitigate authorization framework framework map access control lists acls element application functionality particularly url web app case administrator fail specify acl particular element attacker able access impunity attacker ability access functionality properly constrain acl obtain sensitive information possibly compromise entire application attacker access resource available user high privilege level access management section application run query datum suppose,[],application particularly web application access functionality mitigate authorization framework framework map access control lists acls element application functionality particularly url web app case administrator fail specify acl particular element attacker able access impunity attacker ability access functionality properly constrain acl obtain sensitive information possibly compromise entire application attacker access resource available user high privilege level access management section application run query datum suppose
CAPEC-10,Buffer Overflow via Environment Variables,attack pattern involve cause buffer overflow manipulation environment variable adversary find modify environment variable try overflow associate buffer attack leverage implicit trust place environment variable,"['CVE-1999-0906', 'CVE-1999-0046']",attack pattern involve cause buffer overflow manipulation environment variable adversary find modify environment variable try overflow associate buffer attack leverage implicit trust place environment variable
CAPEC-100,Overflow Buffers,buffer overflow attack target improper missing bound checking buffer operation typically trigger input inject adversary consequence adversary able write past boundary allocate buffer region memory cause program crash potentially redirection execution adversary choice,[],buffer overflow attack target improper missing bound checking buffer operation typically trigger input inject adversary consequence adversary able write past boundary allocate buffer region memory cause program crash potentially redirection execution adversary choice
CAPEC-101,Server Side Include (SSI) Injection,attacker use server include ssi injection send code web application gets execute web server enable attacker achieve similar result cross site scripting viz arbitrary code execution information disclosure albeit limited scale ssi directive near powerful fledge scripting language nonetheless attacker conveniently gain access sensitive file password file execute shell command,[],attacker use server include ssi injection send code web application gets execute web server enable attacker achieve similar result cross site scripting viz arbitrary code execution information disclosure albeit limited scale ssi directive near powerful fledge scripting language nonetheless attacker conveniently gain access sensitive file password file execute shell command
CAPEC-102,Session Sidejacking,session sidejacking take advantage unencrypted communication channel victim target system attacker sniff traffic network look session token unencrypted traffic session token capture attacker perform malicious action steal token target application impersonate victim attack specific method session hijacking exploit valid session token gain unauthorized access target system information method perform session hijacking session fixation cross site scripting compromise user server machine steal session token,[],session sidejacking take advantage unencrypted communication channel victim target system attacker sniff traffic network look session token unencrypted traffic session token capture attacker perform malicious action steal token target application impersonate victim attack specific method session hijacking exploit valid session token gain unauthorized access target system information method perform session hijacking session fixation cross site scripting compromise user server machine steal session token
CAPEC-103,Clickjacking,clickjacking attack victim trick unknowingly initiate action system interact ui seemingly completely different system log target system victim visit adversary malicious site display ui victim wish interact reality clickjacke page transparent layer visible ui action control adversary wish victim execute victim click button ui element page actually trigger action control transparent overlay layer depend action control adversary trick victim execute potentially privileged certainly undesired functionality target system victim authenticate basic problem dichotomy victim think click versus actually click,[],clickjacking attack victim trick unknowingly initiate action system interact ui seemingly completely different system log target system victim visit adversary malicious site display ui victim wish interact reality clickjacke page transparent layer visible ui action control adversary wish victim execute victim click button ui element page actually trigger action control transparent overlay layer depend action control adversary trick victim execute potentially privileged certainly undesired functionality target system victim authenticate basic problem dichotomy victim think click versus actually click
