id,true,pred,true_name,pred_name,cve_des
CVE-1999-0906,CAPEC-10,CAPEC-10,Buffer Overflow via Environment Variables,Buffer Overflow via Environment Variables,Buffer overflow in sccw allows local users to gain root access via the HOME environmental variable.
CVE-1999-0046,CAPEC-10,CAPEC-10,Buffer Overflow via Environment Variables,Buffer Overflow via Environment Variables,Buffer overflow of rlogin program using TERM environmental variable.
CVE-2006-6799,CAPEC-108,CAPEC-108,Command Line Execution through SQL Injection,Command Line Execution through SQL Injection,"SQL injection vulnerability in Cacti 0.8.6i and earlier, when register_argc_argv is enabled, allows remote attackers to execute arbitrary SQL commands via the (1) second or (2) third arguments to cmd.php.  NOTE: this issue can be leveraged to execute arbitrary commands since the SQL query results are later used in the polling_items array and popen function."
CVE-2006-6799,CAPEC-108,CAPEC-108,Command Line Execution through SQL Injection,Command Line Execution through SQL Injection,"SQL injection vulnerability in Cacti 0.8.6i and earlier, when register_argc_argv is enabled, allows remote attackers to execute arbitrary SQL commands via the (1) second or (2) third arguments to cmd.php.  NOTE: this issue can be leveraged to execute arbitrary commands since the SQL query results are later used in the polling_items array and popen function."
CVE-1999-0073,CAPEC-13,CAPEC-96,Subverting Environment Variable Values,Block Access to Libraries,"Telnet allows a remote client to specify environment variables including LD_LIBRARY_PATH, allowing an attacker to bypass the normal system libraries and gain root access."
CVE-2007-2027,CAPEC-135,CAPEC-23,Format String Injection,File Content Injection,"Untrusted search path vulnerability in the add_filename_to_string function in intl/gettext/loadmsgcat.c for Elinks 0.11.1 allows local users to cause Elinks to use an untrusted gettext message catalog (.po file) in a ""../po"" directory, which can be leveraged to conduct format string attacks."
CVE-2005-2301,CAPEC-136,CAPEC-136,LDAP Injection,LDAP Injection,"PowerDNS before 2.9.18, when running with an LDAP backend, does not properly escape LDAP queries, which allows remote attackers to cause a denial of service (failure to answer ldap questions) and possibly conduct an LDAP injection attack."
CVE-2003-1096,CAPEC-16,CAPEC-16,Dictionary-based Password Attack,Dictionary-based Password Attack,"The Cisco LEAP challenge/response authentication mechanism uses passwords in a way that is susceptible to dictionary attacks, which makes it easier for remote attackers to gain privileges via brute force password guessing attacks."
CVE-2007-1057,CAPEC-26,CAPEC-193,Leveraging Race Conditions,PHP Remote File Inclusion,"The Net Direct client for Linux before 6.0.5 in Nortel Application Switch 2424, VPN 3050 and 3070, and SSL VPN Module 1000 extracts and executes files with insecure permissions, which allows local users to exploit a race condition to replace a world-writable file in /tmp/NetClient and cause another user to execute arbitrary code when attempting to execute this client, as demonstrated by replacing /tmp/NetClient/client."
CVE-2010-0488,CAPEC-267,CAPEC-267,Leverage Alternate Encoding,Leverage Alternate Encoding,"Microsoft Internet Explorer 5.01 SP4, 6, 6 SP1, and 7 does not properly handle unspecified ""encoding strings,"" which allows remote attackers to bypass the Same Origin Policy and obtain sensitive information via a crafted web site, aka ""Post Encoding Information Disclosure Vulnerability."""
CVE-2006-6939,CAPEC-27,CAPEC-27,Leveraging Race Conditions via Symbolic Links,Leveraging Race Conditions via Symbolic Links,"GNU ed before 0.3 allows local users to overwrite arbitrary files via a symlink attack on temporary files, possibly in the open_sbuf function."
CVE-2005-0894,CAPEC-27,CAPEC-27,Leveraging Race Conditions via Symbolic Links,Leveraging Race Conditions via Symbolic Links,OpenmosixCollector and OpenMosixView in OpenMosixView 1.5 allow local users to overwrite or delete arbitrary files via a symlink attack on (1) temporary files in the openmosixcollector directory or (2) nodes.tmp.
CVE-2000-0972,CAPEC-27,CAPEC-73,Leveraging Race Conditions via Symbolic Links,User-Controlled Filename,"HP-UX 11.00 crontab allows local users to read arbitrary files via the -e option by creating a symlink to the target file during the crontab session, quitting the session, and reading the error messages that crontab generates."
CVE-2017-2666,CAPEC-273,CAPEC-86,HTTP Response Smuggling,XSS Through HTTP Headers,"It was discovered in Undertow that the code that parsed the HTTP request line permitted invalid characters. This could be exploited, in conjunction with a proxy that also permitted the invalid characters but with a different interpretation, to inject data into the HTTP response. By manipulating the HTTP response the attacker could poison a web-cache, perform an XSS attack, or obtain sensitive information from requests other than their own."
CVE-2006-2786,CAPEC-273,CAPEC-33,HTTP Response Smuggling,HTTP Request Smuggling,"HTTP response smuggling vulnerability in Mozilla Firefox and Thunderbird before 1.5.0.4, when used with certain proxy servers, allows remote attackers to cause Firefox to interpret certain responses as if they were responses from two different sites via (1) invalid HTTP response headers with spaces between the header name and the colon, which might not be ignored in some cases, or (2) HTTP 1.1 headers through an HTTP 1.0 proxy, which are ignored by the proxy but processed by the client."
CVE-2007-1057,CAPEC-29,CAPEC-193,Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions,PHP Remote File Inclusion,"The Net Direct client for Linux before 6.0.5 in Nortel Application Switch 2424, VPN 3050 and 3070, and SSL VPN Module 1000 extracts and executes files with insecure permissions, which allows local users to exploit a race condition to replace a world-writable file in /tmp/NetClient and cause another user to execute arbitrary code when attempting to execute this client, as demonstrated by replacing /tmp/NetClient/client."
CVE-2010-5148,CAPEC-31,CAPEC-31,Accessing/Intercepting/Modifying HTTP Cookies,Accessing/Intercepting/Modifying HTTP Cookies,"Websense Web Security and Web Filter before 7.1 Hotfix 21 do not set the secure flag for the Encrypted Session (SSL) cookie in an https session, which makes it easier for remote attackers to capture this cookie by intercepting its transmission within an http session."
CVE-2016-0353,CAPEC-31,CAPEC-31,Accessing/Intercepting/Modifying HTTP Cookies,Accessing/Intercepting/Modifying HTTP Cookies,"IBM Security Privileged Identity Manager 2.0 before 2.0.2 FP8, when Virtual Appliance is used, does not set the secure flag for the session cookie in an https session, which makes it easier for remote attackers to capture this cookie by intercepting its transmission within an http session."
CVE-2020-8287,CAPEC-33,CAPEC-33,HTTP Request Smuggling,HTTP Request Smuggling,"Node.js versions before 10.23.1, 12.20.1, 14.15.4, 15.5.1 allow two copies of a header field in an HTTP request (for example, two Transfer-Encoding header fields). In this case, Node.js identifies the first header field and ignores the second. This can lead to HTTP Request Smuggling."
CVE-2006-6276,CAPEC-33,CAPEC-33,HTTP Request Smuggling,HTTP Request Smuggling,"HTTP request smuggling vulnerability in Sun Java System Proxy Server before 20061130, when used with Sun Java System Application Server or Sun Java System Web Server, allows remote attackers to bypass HTTP request filtering, hijack web sessions, perform cross-site scripting (XSS), and poison web caches via unspecified attack vectors."
