name,precision,recall,f1-score,support
CWE-338,1.0000,0.2000,0.3333,5
CWE-436,1.0000,0.3333,0.5000,3
CWE-134,1.0000,0.4737,0.6429,19
CWE-266,1.0000,1.0000,1.0000,1
CWE-834,1.0000,0.6000,0.7500,5
CWE-88,1.0000,0.2500,0.4000,4
CWE-191,1.0000,0.3333,0.5000,6
CWE-425,1.0000,0.2000,0.3333,5
CWE-89,0.9948,0.9821,0.9884,390
CWE-79,0.9707,0.9812,0.9759,1012
CWE-918,0.9643,0.8438,0.9000,32
CWE-352,0.9424,0.9524,0.9474,189
CWE-416,0.9247,0.9060,0.9153,149
CWE-369,0.9167,0.9167,0.9167,12
CWE-476,0.8966,0.8478,0.8715,92
CWE-190,0.8605,0.8605,0.8605,86
CWE-843,0.8571,0.5455,0.6667,11
CWE-917,0.8571,0.6667,0.7500,9
CWE-22,0.8515,0.9112,0.8804,214
CWE-125,0.8444,0.7958,0.8194,191
CWE-310,0.8372,0.8438,0.8405,128
CWE-824,0.8333,0.7143,0.7692,7
CWE-444,0.8333,0.4545,0.5882,11
CWE-611,0.8182,0.9474,0.8780,38
CWE-601,0.8148,0.7586,0.7857,29
CWE-787,0.7969,0.7647,0.7805,272
CWE-59,0.7895,0.6383,0.7059,47
CWE-502,0.7667,0.6389,0.6970,36
CWE-119,0.7616,0.8344,0.7964,628
CWE-307,0.7500,0.4615,0.5714,13
CWE-295,0.7333,0.8049,0.7674,41
CWE-704,0.7273,0.8889,0.8000,9
CWE-798,0.7222,0.8667,0.7879,30
CWE-915,0.7143,0.5556,0.6250,9
CWE-78,0.6966,0.7045,0.7006,88
CWE-16,0.6667,0.1538,0.2500,13
CWE-384,0.6667,0.5000,0.5714,8
CWE-209,0.6667,0.5000,0.5714,8
CWE-193,0.6667,1.0000,0.8000,2
CWE-319,0.6667,0.5000,0.5714,24
CWE-788,0.6667,0.6667,0.6667,3
CWE-354,0.6667,0.5000,0.5714,4
CWE-189,0.6667,0.6567,0.6617,67
CWE-427,0.6667,0.3636,0.4706,22
CWE-415,0.6667,0.7500,0.7059,16
CWE-362,0.6591,0.8056,0.7250,36
CWE-200,0.6425,0.7534,0.6936,365
CWE-264,0.6406,0.6545,0.6475,275
CWE-255,0.6207,0.5455,0.5806,33
CWE-772,0.6190,0.5000,0.5532,26
CWE-94,0.6181,0.5973,0.6075,149
CWE-120,0.6111,0.4583,0.5238,48
CWE-908,0.6000,0.5000,0.5455,6
CWE-77,0.5897,0.5000,0.5412,46
CWE-129,0.5714,0.2667,0.3636,15
