name,precision,recall,f1-score,support
CWE-266,1.0000,1.0000,1.0000,1
CWE-917,1.0000,0.6875,0.8148,16
CWE-256,1.0000,0.5000,0.6667,2
CWE-89,0.9839,0.9739,0.9788,689
CWE-79,0.9747,0.9781,0.9764,1735
CWE-22,0.9064,0.9177,0.9120,401
CWE-191,0.9000,0.4737,0.6207,19
CWE-788,0.8889,0.8889,0.8889,9
CWE-134,0.8846,0.6389,0.7419,36
CWE-787,0.8794,0.9045,0.8918,492
CWE-1021,0.8750,0.5385,0.6667,13
CWE-476,0.8728,0.8935,0.8830,169
CWE-125,0.8672,0.8928,0.8798,373
CWE-190,0.8629,0.8988,0.8805,168
CWE-209,0.8333,0.3333,0.4762,15
CWE-444,0.8182,0.5625,0.6667,16
CWE-1236,0.8182,0.6923,0.7500,13
CWE-915,0.8000,0.7273,0.7619,11
CWE-78,0.7562,0.7246,0.7401,167
CWE-428,0.7500,0.3750,0.5000,8
CWE-918,0.7455,0.8200,0.7810,50
CWE-94,0.7360,0.7419,0.7390,248
CWE-120,0.7222,0.6190,0.6667,84
CWE-601,0.7069,0.8542,0.7736,48
CWE-59,0.7000,0.7671,0.7320,73
CWE-434,0.6970,0.6635,0.6798,104
CWE-798,0.6964,0.6842,0.6903,57
CWE-369,0.6842,0.8667,0.7647,30
CWE-425,0.6667,0.2222,0.3333,9
CWE-824,0.6667,0.8571,0.7500,7
CWE-611,0.6667,0.7164,0.6906,67
CWE-193,0.6667,0.4000,0.5000,5
CWE-295,0.6279,0.7941,0.7013,68
CWE-426,0.6176,0.7000,0.6562,30
CWE-843,0.6154,0.5000,0.5517,16
CWE-502,0.6133,0.6866,0.6479,67
CWE-908,0.6000,0.4615,0.5217,13
CWE-772,0.5349,0.6389,0.5823,36
CWE-640,0.5000,0.2222,0.3077,9
CWE-427,0.5000,0.4286,0.4615,35
CWE-613,0.5000,0.3125,0.3846,16
CWE-290,0.5000,0.1765,0.2609,17
CWE-319,0.4516,0.3590,0.4000,39
CWE-307,0.4444,0.4211,0.4324,19
CWE-835,0.3818,0.7500,0.5060,28
CWE-532,0.3571,0.3571,0.3571,28
CWE-312,0.3429,0.4800,0.4000,25
CWE-521,0.3333,0.1250,0.1818,8
CWE-617,0.3125,0.2174,0.2564,23
CWE-276,0.2857,0.4912,0.3613,57
