name,precision,recall,f1-score,support
CWE-118,1.0000,1.0000,1.0000,1
CWE-617,1.0000,0.5000,0.6667,12
CWE-369,1.0000,0.9167,0.9565,12
CWE-266,1.0000,1.0000,1.0000,1
CWE-697,1.0000,0.2500,0.4000,4
CWE-610,1.0000,1.0000,1.0000,1
CWE-436,1.0000,0.3333,0.5000,3
CWE-367,1.0000,0.2000,0.3333,5
CWE-552,1.0000,0.1429,0.2500,7
CWE-843,1.0000,0.8182,0.9000,11
CWE-89,0.9897,0.9846,0.9871,390
CWE-79,0.9812,0.9822,0.9817,1012
CWE-416,0.9640,0.8993,0.9306,149
CWE-352,0.9581,0.9683,0.9632,189
CWE-134,0.9286,0.6842,0.7879,19
CWE-22,0.8915,0.8832,0.8873,214
CWE-704,0.8889,0.8889,0.8889,9
CWE-476,0.8750,0.8370,0.8556,92
CWE-674,0.8750,0.7778,0.8235,9
CWE-427,0.8750,0.6364,0.7368,22
CWE-611,0.8605,0.9737,0.9136,38
CWE-824,0.8571,0.8571,0.8571,7
CWE-917,0.8571,0.6667,0.7500,9
CWE-918,0.8529,0.9062,0.8788,32
CWE-119,0.8497,0.8010,0.8246,628
CWE-295,0.8462,0.8049,0.8250,41
CWE-502,0.8378,0.8611,0.8493,36
CWE-125,0.8351,0.8220,0.8285,191
CWE-665,0.8333,0.4545,0.5882,11
CWE-1236,0.8333,0.7143,0.7692,7
CWE-190,0.8000,0.8372,0.8182,86
CWE-59,0.8000,0.7660,0.7826,47
CWE-307,0.8000,0.6154,0.6957,13
CWE-640,0.8000,0.5714,0.6667,7
CWE-915,0.8000,0.8889,0.8421,9
CWE-772,0.7895,0.5769,0.6667,26
CWE-787,0.7801,0.8346,0.8064,272
CWE-310,0.7606,0.8438,0.8000,128
CWE-834,0.7500,0.6000,0.6667,5
CWE-189,0.7164,0.7164,0.7164,67
CWE-209,0.7143,0.6250,0.6667,8
CWE-798,0.6970,0.7667,0.7302,30
CWE-362,0.6905,0.8056,0.7436,36
CWE-415,0.6875,0.6875,0.6875,16
CWE-77,0.6786,0.4130,0.5135,46
CWE-200,0.6722,0.7699,0.7178,365
CWE-338,0.6667,0.4000,0.5000,5
CWE-193,0.6667,1.0000,0.8000,2
CWE-281,0.6667,0.6667,0.6667,3
CWE-425,0.6667,0.4000,0.5000,5
CWE-788,0.6667,0.6667,0.6667,3
CWE-601,0.6667,0.6897,0.6780,29
CWE-444,0.6667,0.5455,0.6000,11
CWE-426,0.6667,0.7059,0.6857,17
CWE-290,0.6667,0.2500,0.3636,8
CWE-434,0.6538,0.5667,0.6071,60
CWE-120,0.6410,0.5208,0.5747,48
CWE-264,0.6373,0.6582,0.6476,275
CWE-94,0.6301,0.6174,0.6237,149
CWE-327,0.6000,0.4091,0.4865,22
CWE-1021,0.6000,0.3750,0.4615,8
CWE-319,0.6000,0.6250,0.6122,24
CWE-78,0.5980,0.6932,0.6421,88
CWE-755,0.5833,0.5833,0.5833,12
CWE-255,0.5667,0.5152,0.5397,33
CWE-862,0.5500,0.4231,0.4783,52
CWE-399,0.5405,0.6536,0.5917,153
CWE-835,0.5238,0.7333,0.6111,15
CWE-532,0.5000,0.6154,0.5517,13
CWE-90,0.5000,0.5000,0.5000,2
CWE-354,0.5000,0.2500,0.3333,4
CWE-294,0.5000,0.5000,0.5000,2
CWE-122,0.5000,0.3333,0.4000,3
CWE-908,0.5000,0.6667,0.5714,6
CWE-91,0.5000,0.3333,0.4000,3
CWE-428,0.5000,0.6667,0.5714,3
CWE-347,0.5000,0.3636,0.4211,11
CWE-203,0.5000,0.3333,0.4000,9
CWE-754,0.5000,0.3000,0.3750,10
CWE-269,0.4875,0.5342,0.5098,73
CWE-306,0.4857,0.5667,0.5231,30
CWE-287,0.4841,0.5891,0.5315,129
CWE-20,0.4806,0.5629,0.5185,485
CWE-770,0.4706,0.4000,0.4324,20
CWE-312,0.4615,0.3529,0.4000,17
CWE-16,0.4286,0.2308,0.3000,13
CWE-74,0.4286,0.4444,0.4364,27
CWE-276,0.4138,0.4000,0.4068,30
CWE-732,0.4118,0.4000,0.4058,35
CWE-400,0.4107,0.4694,0.4381,49
CWE-521,0.4000,0.3333,0.3636,6
CWE-401,0.4000,0.5455,0.4615,11
CWE-330,0.4000,0.1538,0.2222,13
CWE-129,0.3750,0.2000,0.2609,15
CWE-191,0.3750,0.5000,0.4286,6
CWE-522,0.3704,0.4000,0.3846,25
CWE-284,0.3571,0.2679,0.3061,56
CWE-275,0.3333,0.5000,0.4000,2
CWE-494,0.3333,0.3333,0.3333,3
CWE-88,0.3333,0.2500,0.2857,4
CWE-384,0.3333,0.2500,0.2857,8
CWE-285,0.3333,0.2857,0.3077,7
CWE-254,0.3000,0.0968,0.1463,31
CWE-19,0.2857,0.1667,0.2105,12
CWE-326,0.2500,0.2500,0.2500,16
CWE-311,0.2500,0.3000,0.2727,10
CWE-639,0.2500,0.7500,0.3750,4
CWE-863,0.2245,0.3333,0.2683,33
CWE-345,0.2222,0.1667,0.1905,12
CWE-1188,0.2000,0.2500,0.2222,4
CWE-922,0.1667,0.3333,0.2222,3
CWE-668,0.1667,0.1111,0.1333,18
CWE-613,0.1667,0.1429,0.1538,7
CWE-404,0.1429,0.1667,0.1538,6
CWE-325,0.0000,0.0000,0.0000,0
CWE-759,0.0000,0.0000,0.0000,0
CWE-317,0.0000,0.0000,0.0000,0
CWE-706,0.0000,0.0000,0.0000,3
CWE-924,0.0000,0.0000,0.0000,0
CWE-457,0.0000,0.0000,0.0000,0
CWE-682,0.0000,0.0000,0.0000,3
CWE-64,0.0000,0.0000,0.0000,0
