name,precision,recall,f1-score,support
CWE-459,1.0000,0.2000,0.3333,5
CWE-908,1.0000,0.7692,0.8696,13
CWE-353,1.0000,1.0000,1.0000,1
CWE-288,1.0000,0.5000,0.6667,2
CWE-472,1.0000,1.0000,1.0000,1
CWE-93,1.0000,0.5000,0.6667,4
CWE-470,1.0000,0.5000,0.6667,2
CWE-1236,1.0000,0.9231,0.9600,13
CWE-184,1.0000,0.5000,0.6667,2
CWE-90,1.0000,1.0000,1.0000,3
CWE-917,1.0000,0.6875,0.8148,16
CWE-256,1.0000,0.5000,0.6667,2
CWE-266,1.0000,1.0000,1.0000,1
CWE-89,0.9941,0.9797,0.9868,689
CWE-79,0.9839,0.9862,0.9850,1735
CWE-134,0.9375,0.8333,0.8824,36
CWE-369,0.9355,0.9667,0.9508,30
CWE-59,0.9286,0.8904,0.9091,73
CWE-125,0.9284,0.9035,0.9158,373
CWE-190,0.9281,0.9226,0.9254,168
CWE-295,0.9265,0.9265,0.9265,68
CWE-22,0.9231,0.9277,0.9254,401
CWE-918,0.9184,0.9000,0.9091,50
CWE-617,0.9130,0.9130,0.9130,23
CWE-502,0.8955,0.8955,0.8955,67
CWE-788,0.8889,0.8889,0.8889,9
CWE-611,0.8841,0.9104,0.8971,67
CWE-787,0.8818,0.9248,0.9028,492
CWE-476,0.8667,0.9231,0.8940,169
CWE-601,0.8400,0.8750,0.8571,48
CWE-428,0.8333,0.6250,0.7143,8
CWE-835,0.8276,0.8571,0.8421,28
CWE-193,0.8000,0.8000,0.8000,5
CWE-772,0.8000,0.7778,0.7887,36
CWE-444,0.8000,0.7500,0.7742,16
CWE-427,0.7931,0.6571,0.7188,35
CWE-434,0.7895,0.7212,0.7538,104
CWE-798,0.7778,0.8596,0.8167,57
CWE-915,0.7692,0.9091,0.8333,11
CWE-120,0.7683,0.7500,0.7590,84
CWE-319,0.7667,0.5897,0.6667,39
CWE-78,0.7527,0.8383,0.7932,167
CWE-209,0.7500,0.6000,0.6667,15
CWE-191,0.7333,0.5789,0.6471,19
CWE-1021,0.7273,0.6154,0.6667,13
CWE-94,0.7228,0.8306,0.7730,248
CWE-346,0.7143,0.2500,0.3704,20
CWE-307,0.7083,0.8947,0.7907,19
CWE-276,0.7069,0.7193,0.7130,57
CWE-843,0.7059,0.7500,0.7273,16
CWE-426,0.6875,0.7333,0.7097,30
CWE-290,0.6875,0.6471,0.6667,17
CWE-354,0.6667,0.3333,0.4444,6
CWE-425,0.6667,0.4444,0.5333,9
CWE-367,0.6667,0.5714,0.6154,7
CWE-91,0.6667,0.8000,0.7273,5
CWE-532,0.6552,0.6786,0.6667,28
CWE-613,0.6429,0.5625,0.6000,16
CWE-824,0.6364,1.0000,0.7778,7
CWE-909,0.6000,0.7500,0.6667,4
CWE-312,0.5862,0.6800,0.6296,25
CWE-640,0.5833,0.7778,0.6667,9
CWE-347,0.5789,0.6111,0.5946,18
CWE-770,0.5200,0.4643,0.4906,28
CWE-294,0.5000,0.4000,0.4444,5
CWE-306,0.5000,0.6596,0.5688,47
CWE-281,0.5000,0.3333,0.4000,9
CWE-203,0.4737,0.6923,0.5625,13
CWE-338,0.4000,0.2857,0.3333,7
CWE-639,0.4000,0.5714,0.4706,7
CWE-494,0.4000,0.5000,0.4444,4
CWE-1188,0.3333,0.2500,0.2857,8
CWE-681,0.3333,0.2000,0.2500,5
CWE-331,0.3333,1.0000,0.5000,1
CWE-88,0.3333,0.3333,0.3333,6
CWE-552,0.2500,0.2500,0.2500,8
CWE-112,0.0000,0.0000,0.0000,0
CWE-497,0.0000,0.0000,0.0000,0
CWE-214,0.0000,0.0000,0.0000,0
CWE-641,0.0000,0.0000,0.0000,0
CWE-242,0.0000,0.0000,0.0000,0
CWE-170,0.0000,0.0000,0.0000,1
CWE-916,0.0000,0.0000,0.0000,3
CWE-807,0.0000,0.0000,0.0000,0
CWE-603,0.0000,0.0000,0.0000,0
CWE-364,0.0000,0.0000,0.0000,0
CWE-130,0.0000,0.0000,0.0000,0
CWE-694,0.0000,0.0000,0.0000,0
CWE-920,0.0000,0.0000,0.0000,1
CWE-540,0.0000,0.0000,0.0000,0
CWE-822,0.0000,0.0000,0.0000,0
CWE-303,0.0000,0.0000,0.0000,0
CWE-96,0.0000,0.0000,0.0000,0
CWE-305,0.0000,0.0000,0.0000,0
CWE-757,0.0000,0.0000,0.0000,0
CWE-838,0.0000,0.0000,0.0000,0
CWE-124,0.0000,0.0000,0.0000,0
CWE-250,0.0000,0.0000,0.0000,2
CWE-620,0.0000,0.0000,0.0000,0
CWE-335,0.0000,0.0000,0.0000,2
CWE-131,0.0000,0.0000,0.0000,2
CWE-379,0.0000,0.0000,0.0000,0
CWE-440,0.0000,0.0000,0.0000,0
CWE-489,0.0000,0.0000,0.0000,0
CWE-334,0.0000,0.0000,0.0000,0
CWE-385,0.0000,0.0000,0.0000,0
CWE-358,0.0000,0.0000,0.0000,5
CWE-823,0.0000,0.0000,0.0000,0
CWE-565,0.0000,0.0000,0.0000,2
CWE-763,0.0000,0.0000,0.0000,3
CWE-649,0.0000,0.0000,0.0000,0
CWE-248,0.0000,0.0000,0.0000,0
CWE-924,0.0000,0.0000,0.0000,0
CWE-829,0.0000,0.0000,0.0000,6
CWE-507,0.0000,0.0000,0.0000,0
CWE-708,0.0000,0.0000,0.0000,1
CWE-208,0.0000,0.0000,0.0000,0
CWE-325,0.0000,0.0000,0.0000,1
CWE-1286,0.0000,0.0000,0.0000,0
CWE-115,0.0000,0.0000,0.0000,0
CWE-15,0.0000,0.0000,0.0000,0
CWE-261,0.0000,0.0000,0.0000,1
CWE-471,0.0000,0.0000,0.0000,1
CWE-521,0.0000,0.0000,0.0000,8
CWE-257,0.0000,0.0000,0.0000,0
CWE-117,0.0000,0.0000,0.0000,0
CWE-178,0.0000,0.0000,0.0000,2
CWE-283,0.0000,0.0000,0.0000,0
CWE-73,0.0000,0.0000,0.0000,0
CWE-1278,0.0000,0.0000,0.0000,0
CWE-123,0.0000,0.0000,0.0000,1
CWE-567,0.0000,0.0000,0.0000,0
CWE-183,0.0000,0.0000,0.0000,0
CWE-270,0.0000,0.0000,0.0000,0
CWE-378,0.0000,0.0000,0.0000,0
CWE-201,0.0000,0.0000,0.0000,0
CWE-1285,0.0000,0.0000,0.0000,0
CWE-252,0.0000,0.0000,0.0000,4
CWE-299,0.0000,0.0000,0.0000,0
CWE-538,0.0000,0.0000,0.0000,2
CWE-359,0.0000,0.0000,0.0000,0
CWE-805,0.0000,0.0000,0.0000,0
CWE-280,0.0000,0.0000,0.0000,0
CWE-212,0.0000,0.0000,0.0000,3
CWE-240,0.0000,0.0000,0.0000,0
CWE-23,0.0000,0.0000,0.0000,1
CWE-268,0.0000,0.0000,0.0000,0
CWE-776,0.0000,0.0000,0.0000,2
CWE-1284,0.0000,0.0000,0.0000,0
CWE-273,0.0000,0.0000,0.0000,1
CWE-749,0.0000,0.0000,0.0000,0
CWE-36,0.0000,0.0000,0.0000,2
CWE-349,0.0000,0.0000,0.0000,0
CWE-328,0.0000,0.0000,0.0000,0
CWE-267,0.0000,0.0000,0.0000,0
CWE-778,0.0000,0.0000,0.0000,0
CWE-304,0.0000,0.0000,0.0000,0
CWE-342,0.0000,0.0000,0.0000,0
