name,precision,recall,f1-score,support
CWE-331,1.0000,1.0000,1.0000,1
CWE-824,1.0000,1.0000,1.0000,7
CWE-470,1.0000,0.5000,0.6667,2
CWE-184,1.0000,0.5000,0.6667,2
CWE-472,1.0000,1.0000,1.0000,1
CWE-256,1.0000,0.5000,0.6667,2
CWE-252,1.0000,0.2500,0.4000,4
CWE-266,1.0000,1.0000,1.0000,1
CWE-288,1.0000,0.5000,0.6667,2
CWE-193,1.0000,0.6000,0.7500,5
CWE-353,1.0000,1.0000,1.0000,1
CWE-916,1.0000,0.3333,0.5000,3
CWE-788,1.0000,0.8889,0.9412,9
CWE-915,1.0000,0.9091,0.9524,11
CWE-294,1.0000,0.6000,0.7500,5
CWE-90,1.0000,0.3333,0.5000,3
CWE-89,0.9971,0.9840,0.9905,689
CWE-79,0.9789,0.9914,0.9851,1735
CWE-918,0.9787,0.9200,0.9485,50
CWE-59,0.9403,0.8630,0.9000,73
CWE-369,0.9375,1.0000,0.9677,30
CWE-134,0.9355,0.8056,0.8657,36
CWE-601,0.9333,0.8750,0.9032,48
CWE-476,0.9333,0.9112,0.9222,169
CWE-502,0.9242,0.9104,0.9173,67
CWE-190,0.9240,0.9405,0.9322,168
CWE-917,0.9167,0.6875,0.7857,16
CWE-1236,0.9167,0.8462,0.8800,13
CWE-22,0.9113,0.9476,0.9291,401
CWE-787,0.9024,0.9207,0.9115,492
CWE-908,0.9000,0.6923,0.7826,13
CWE-125,0.8966,0.9303,0.9132,373
CWE-611,0.8955,0.8955,0.8955,67
CWE-835,0.8929,0.8929,0.8929,28
CWE-191,0.8667,0.6842,0.7647,19
CWE-295,0.8590,0.9853,0.9178,68
CWE-290,0.8571,0.3529,0.5000,17
CWE-532,0.8571,0.8571,0.8571,28
CWE-434,0.8506,0.7115,0.7749,104
CWE-617,0.8400,0.9130,0.8750,23
CWE-772,0.8387,0.7222,0.7761,36
CWE-319,0.8333,0.6410,0.7246,39
CWE-428,0.8333,0.6250,0.7143,8
CWE-338,0.8000,0.5714,0.6667,7
CWE-843,0.8000,0.7500,0.7742,16
CWE-425,0.8000,0.4444,0.5714,9
CWE-120,0.7927,0.7738,0.7831,84
CWE-307,0.7895,0.7895,0.7895,19
CWE-94,0.7585,0.8105,0.7836,248
CWE-78,0.7538,0.8802,0.8122,167
CWE-444,0.7500,0.7500,0.7500,16
CWE-909,0.7500,0.7500,0.7500,4
CWE-91,0.7500,0.6000,0.6667,5
CWE-798,0.7361,0.9298,0.8217,57
CWE-427,0.7188,0.6571,0.6866,35
CWE-276,0.7091,0.6842,0.6964,57
CWE-312,0.6818,0.6000,0.6383,25
CWE-426,0.6667,0.6667,0.6667,30
CWE-347,0.6500,0.7222,0.6842,18
CWE-1021,0.6250,0.7692,0.6897,13
CWE-640,0.6000,0.6667,0.6316,9
CWE-346,0.5455,0.3000,0.3871,20
CWE-367,0.5455,0.8571,0.6667,7
CWE-639,0.5000,0.5714,0.5333,7
CWE-88,0.5000,0.1667,0.2500,6
CWE-1188,0.5000,0.2500,0.3333,8
CWE-552,0.5000,0.3750,0.4286,8
CWE-209,0.5000,0.6667,0.5714,15
CWE-93,0.5000,0.5000,0.5000,4
CWE-613,0.5000,0.4375,0.4667,16
CWE-770,0.4857,0.6071,0.5397,28
CWE-281,0.4286,0.3333,0.3750,9
CWE-203,0.4286,0.4615,0.4444,13
CWE-494,0.4000,0.5000,0.4444,4
CWE-354,0.4000,0.3333,0.3636,6
CWE-306,0.3810,0.6809,0.4885,47
CWE-603,0.0000,0.0000,0.0000,0
CWE-540,0.0000,0.0000,0.0000,0
CWE-920,0.0000,0.0000,0.0000,1
CWE-694,0.0000,0.0000,0.0000,0
CWE-130,0.0000,0.0000,0.0000,0
CWE-364,0.0000,0.0000,0.0000,0
CWE-822,0.0000,0.0000,0.0000,0
CWE-305,0.0000,0.0000,0.0000,0
CWE-807,0.0000,0.0000,0.0000,0
CWE-170,0.0000,0.0000,0.0000,1
CWE-242,0.0000,0.0000,0.0000,0
CWE-641,0.0000,0.0000,0.0000,0
CWE-214,0.0000,0.0000,0.0000,0
CWE-497,0.0000,0.0000,0.0000,0
CWE-112,0.0000,0.0000,0.0000,0
CWE-757,0.0000,0.0000,0.0000,0
CWE-303,0.0000,0.0000,0.0000,0
CWE-96,0.0000,0.0000,0.0000,0
CWE-838,0.0000,0.0000,0.0000,0
CWE-250,0.0000,0.0000,0.0000,2
CWE-124,0.0000,0.0000,0.0000,0
CWE-620,0.0000,0.0000,0.0000,0
CWE-379,0.0000,0.0000,0.0000,0
CWE-335,0.0000,0.0000,0.0000,2
CWE-131,0.0000,0.0000,0.0000,2
CWE-440,0.0000,0.0000,0.0000,0
CWE-489,0.0000,0.0000,0.0000,0
CWE-459,0.0000,0.0000,0.0000,5
CWE-334,0.0000,0.0000,0.0000,0
CWE-385,0.0000,0.0000,0.0000,0
CWE-358,0.0000,0.0000,0.0000,5
CWE-823,0.0000,0.0000,0.0000,0
CWE-565,0.0000,0.0000,0.0000,2
CWE-763,0.0000,0.0000,0.0000,3
CWE-649,0.0000,0.0000,0.0000,0
CWE-248,0.0000,0.0000,0.0000,0
CWE-924,0.0000,0.0000,0.0000,0
CWE-829,0.0000,0.0000,0.0000,6
CWE-507,0.0000,0.0000,0.0000,0
CWE-708,0.0000,0.0000,0.0000,1
CWE-208,0.0000,0.0000,0.0000,0
CWE-325,0.0000,0.0000,0.0000,1
CWE-1286,0.0000,0.0000,0.0000,0
CWE-115,0.0000,0.0000,0.0000,0
CWE-15,0.0000,0.0000,0.0000,0
CWE-261,0.0000,0.0000,0.0000,1
CWE-471,0.0000,0.0000,0.0000,1
CWE-521,0.0000,0.0000,0.0000,8
