name,precision,recall,f1-score,support
CWE-285,1.0000,0.1429,0.2500,7
CWE-617,1.0000,0.5000,0.6667,12
CWE-118,1.0000,1.0000,1.0000,1
CWE-834,1.0000,0.4000,0.5714,5
CWE-913,1.0000,0.5000,0.6667,2
CWE-1236,1.0000,0.7143,0.8333,7
CWE-266,1.0000,1.0000,1.0000,1
CWE-297,1.0000,1.0000,1.0000,1
CWE-829,1.0000,0.2000,0.3333,5
CWE-697,1.0000,0.2500,0.4000,4
CWE-367,1.0000,0.2000,0.3333,5
CWE-354,1.0000,0.2500,0.4000,4
CWE-436,1.0000,0.3333,0.5000,3
CWE-610,1.0000,1.0000,1.0000,1
CWE-338,1.0000,0.2000,0.3333,5
CWE-36,1.0000,1.0000,1.0000,1
CWE-89,0.9922,0.9744,0.9832,390
CWE-79,0.9717,0.9852,0.9784,1012
CWE-352,0.9529,0.9630,0.9579,189
CWE-134,0.9375,0.7895,0.8571,19
CWE-611,0.9211,0.9211,0.9211,38
CWE-416,0.9116,0.8993,0.9054,149
CWE-22,0.9023,0.9065,0.9044,214
CWE-502,0.8649,0.8889,0.8767,36
CWE-125,0.8587,0.8272,0.8427,191
CWE-917,0.8571,0.6667,0.7500,9
CWE-918,0.8529,0.9062,0.8788,32
CWE-190,0.8488,0.8488,0.8488,86
CWE-476,0.8478,0.8478,0.8478,92
CWE-369,0.8462,0.9167,0.8800,12
CWE-59,0.8462,0.7021,0.7674,47
CWE-787,0.8036,0.8125,0.8080,272
CWE-915,0.8000,0.8889,0.8421,9
CWE-665,0.8000,0.3636,0.5000,11
CWE-704,0.8000,0.8889,0.8421,9
CWE-843,0.8000,0.7273,0.7619,11
CWE-310,0.7863,0.8047,0.7954,128
CWE-307,0.7778,0.5385,0.6364,13
CWE-119,0.7776,0.8073,0.7922,628
CWE-415,0.7647,0.8125,0.7879,16
CWE-427,0.7500,0.5455,0.6316,22
CWE-209,0.7500,0.3750,0.5000,8
CWE-824,0.7500,0.8571,0.8000,7
CWE-347,0.7500,0.2727,0.4000,11
CWE-754,0.7500,0.3000,0.4286,10
CWE-362,0.7436,0.8056,0.7733,36
CWE-295,0.7333,0.8049,0.7674,41
