name,precision,recall,f1-score,support
CWE-369,1.0000,0.7391,0.8500,23
CWE-74,0.9476,0.9597,0.9536,3128
CWE-704,0.9143,0.7805,0.8421,41
CWE-190,0.9139,0.8790,0.8961,157
CWE-345,0.9020,0.8440,0.8720,436
CWE-118,0.8994,0.9322,0.9155,2550
CWE-706,0.8967,0.8750,0.8857,536
CWE-754,0.8883,0.8102,0.8475,216
CWE-362,0.8831,0.7640,0.8193,89
CWE-573,0.8750,0.7568,0.8116,37
CWE-674,0.8571,0.4286,0.5714,14
CWE-610,0.8271,0.8233,0.8252,215
CWE-670,0.8235,0.5833,0.6829,24
CWE-834,0.8205,0.8000,0.8101,40
CWE-404,0.7895,0.6383,0.7059,94
CWE-913,0.7493,0.6667,0.7056,390
CWE-673,0.7333,0.7333,0.7333,30
CWE-191,0.7143,0.5000,0.5882,10
CWE-657,0.7101,0.6901,0.7000,71
CWE-668,0.6744,0.7669,0.7177,1137
CWE-799,0.6667,0.1818,0.2857,22
CWE-669,0.6449,0.5847,0.6133,118
CWE-287,0.6447,0.6652,0.6548,442
CWE-436,0.6000,0.5000,0.5455,18
CWE-330,0.5909,0.3611,0.4483,36
CWE-20,0.5865,0.6315,0.6082,966
CWE-327,0.5789,0.2821,0.3793,39
CWE-684,0.5556,0.2778,0.3704,18
CWE-665,0.5500,0.3438,0.4231,96
CWE-269,0.5274,0.4873,0.5066,158
CWE-311,0.5161,0.3137,0.3902,51
CWE-862,0.4727,0.2826,0.3537,92
CWE-922,0.4000,0.2222,0.2857,36
CWE-400,0.3889,0.3500,0.3684,100
CWE-285,0.3629,0.4412,0.3982,102
CWE-755,0.3611,0.3514,0.3562,37
CWE-326,0.3000,0.1111,0.1622,27
CWE-666,0.2667,0.2667,0.2667,15
