name,precision,recall,f1-score,support
CWE-788,1.0000,0.7778,0.8750,9
CWE-281,1.0000,0.1111,0.2000,9
CWE-917,1.0000,0.6875,0.8148,16
CWE-89,0.9941,0.9753,0.9846,689
CWE-79,0.9787,0.9798,0.9793,1735
CWE-476,0.9085,0.8817,0.8949,169
CWE-915,0.9000,0.8182,0.8571,11
CWE-134,0.8800,0.6111,0.7213,36
CWE-125,0.8754,0.8284,0.8512,373
CWE-190,0.8728,0.8988,0.8856,168
CWE-22,0.8430,0.9102,0.8753,401
CWE-611,0.8310,0.8806,0.8551,67
CWE-918,0.8148,0.8800,0.8462,50
CWE-59,0.8116,0.7671,0.7887,73
CWE-428,0.8000,0.5000,0.6154,8
CWE-787,0.7678,0.9207,0.8373,492
CWE-369,0.7600,0.6333,0.6909,30
CWE-94,0.7490,0.7581,0.7535,248
CWE-120,0.7353,0.5952,0.6579,84
CWE-434,0.7333,0.7404,0.7368,104
CWE-426,0.7200,0.6000,0.6545,30
CWE-502,0.7200,0.8060,0.7606,67
CWE-191,0.7143,0.2632,0.3846,19
CWE-78,0.6866,0.8263,0.7500,167
CWE-601,0.6667,0.7083,0.6869,48
CWE-295,0.6027,0.6471,0.6241,68
CWE-843,0.6000,0.1875,0.2857,16
CWE-1236,0.5714,0.6154,0.5926,13
CWE-276,0.5636,0.5439,0.5536,57
CWE-427,0.5455,0.6857,0.6076,35
CWE-908,0.5000,0.6154,0.5517,13
CWE-613,0.5000,0.0625,0.1111,16
CWE-772,0.4717,0.6944,0.5618,36
CWE-209,0.4000,0.4000,0.4000,15
CWE-312,0.3226,0.4000,0.3571,25
CWE-319,0.3077,0.1026,0.1538,39
CWE-617,0.2105,0.1739,0.1905,23
CWE-835,0.2075,0.3929,0.2716,28
CWE-306,0.2037,0.2340,0.2178,47
CWE-798,0.2036,0.7895,0.3237,57
CWE-532,0.1778,0.2857,0.2192,28
CWE-770,0.1333,0.0714,0.0930,28
CWE-203,0.0909,0.0769,0.0833,13
CWE-242,0.0000,0.0000,0.0000,0
CWE-331,0.0000,0.0000,0.0000,1
CWE-93,0.0000,0.0000,0.0000,4
CWE-807,0.0000,0.0000,0.0000,0
CWE-565,0.0000,0.0000,0.0000,2
CWE-367,0.0000,0.0000,0.0000,7
CWE-290,0.0000,0.0000,0.0000,17
CWE-916,0.0000,0.0000,0.0000,3
CWE-170,0.0000,0.0000,0.0000,1
CWE-494,0.0000,0.0000,0.0000,4
CWE-214,0.0000,0.0000,0.0000,0
CWE-641,0.0000,0.0000,0.0000,0
CWE-261,0.0000,0.0000,0.0000,1
CWE-96,0.0000,0.0000,0.0000,0
CWE-193,0.0000,0.0000,0.0000,5
CWE-1285,0.0000,0.0000,0.0000,0
CWE-681,0.0000,0.0000,0.0000,5
CWE-497,0.0000,0.0000,0.0000,0
CWE-1021,0.0000,0.0000,0.0000,13
CWE-472,0.0000,0.0000,0.0000,1
CWE-1188,0.0000,0.0000,0.0000,8
CWE-603,0.0000,0.0000,0.0000,0
CWE-353,0.0000,0.0000,0.0000,1
CWE-838,0.0000,0.0000,0.0000,0
CWE-124,0.0000,0.0000,0.0000,0
CWE-250,0.0000,0.0000,0.0000,2
CWE-757,0.0000,0.0000,0.0000,0
CWE-305,0.0000,0.0000,0.0000,0
CWE-184,0.0000,0.0000,0.0000,2
CWE-112,0.0000,0.0000,0.0000,0
CWE-620,0.0000,0.0000,0.0000,0
CWE-379,0.0000,0.0000,0.0000,0
CWE-540,0.0000,0.0000,0.0000,0
CWE-338,0.0000,0.0000,0.0000,7
CWE-440,0.0000,0.0000,0.0000,0
CWE-489,0.0000,0.0000,0.0000,0
CWE-459,0.0000,0.0000,0.0000,5
CWE-920,0.0000,0.0000,0.0000,1
CWE-694,0.0000,0.0000,0.0000,0
CWE-334,0.0000,0.0000,0.0000,0
CWE-385,0.0000,0.0000,0.0000,0
CWE-303,0.0000,0.0000,0.0000,0
CWE-822,0.0000,0.0000,0.0000,0
CWE-91,0.0000,0.0000,0.0000,5
CWE-131,0.0000,0.0000,0.0000,2
CWE-335,0.0000,0.0000,0.0000,2
CWE-130,0.0000,0.0000,0.0000,0
CWE-364,0.0000,0.0000,0.0000,0
CWE-358,0.0000,0.0000,0.0000,5
CWE-823,0.0000,0.0000,0.0000,0
CWE-256,0.0000,0.0000,0.0000,2
CWE-248,0.0000,0.0000,0.0000,0
CWE-924,0.0000,0.0000,0.0000,0
CWE-909,0.0000,0.0000,0.0000,4
CWE-88,0.0000,0.0000,0.0000,6
CWE-829,0.0000,0.0000,0.0000,6
CWE-507,0.0000,0.0000,0.0000,0
CWE-708,0.0000,0.0000,0.0000,1
CWE-346,0.0000,0.0000,0.0000,20
CWE-640,0.0000,0.0000,0.0000,9
CWE-470,0.0000,0.0000,0.0000,2
CWE-208,0.0000,0.0000,0.0000,0
CWE-325,0.0000,0.0000,0.0000,1
CWE-347,0.0000,0.0000,0.0000,18
CWE-552,0.0000,0.0000,0.0000,8
CWE-1286,0.0000,0.0000,0.0000,0
CWE-115,0.0000,0.0000,0.0000,0
CWE-763,0.0000,0.0000,0.0000,3
CWE-15,0.0000,0.0000,0.0000,0
CWE-354,0.0000,0.0000,0.0000,6
CWE-471,0.0000,0.0000,0.0000,1
CWE-425,0.0000,0.0000,0.0000,9
CWE-521,0.0000,0.0000,0.0000,8
CWE-257,0.0000,0.0000,0.0000,0
CWE-117,0.0000,0.0000,0.0000,0
CWE-178,0.0000,0.0000,0.0000,2
CWE-283,0.0000,0.0000,0.0000,0
CWE-73,0.0000,0.0000,0.0000,0
CWE-1278,0.0000,0.0000,0.0000,0
CWE-123,0.0000,0.0000,0.0000,1
CWE-567,0.0000,0.0000,0.0000,0
CWE-639,0.0000,0.0000,0.0000,7
CWE-649,0.0000,0.0000,0.0000,0
CWE-252,0.0000,0.0000,0.0000,4
CWE-266,0.0000,0.0000,0.0000,1
CWE-299,0.0000,0.0000,0.0000,0
CWE-538,0.0000,0.0000,0.0000,2
CWE-359,0.0000,0.0000,0.0000,0
CWE-824,0.0000,0.0000,0.0000,7
CWE-805,0.0000,0.0000,0.0000,0
CWE-280,0.0000,0.0000,0.0000,0
CWE-212,0.0000,0.0000,0.0000,3
CWE-240,0.0000,0.0000,0.0000,0
CWE-444,0.0000,0.0000,0.0000,16
CWE-90,0.0000,0.0000,0.0000,3
CWE-288,0.0000,0.0000,0.0000,2
CWE-23,0.0000,0.0000,0.0000,1
CWE-268,0.0000,0.0000,0.0000,0
CWE-776,0.0000,0.0000,0.0000,2
CWE-307,0.0000,0.0000,0.0000,19
CWE-1284,0.0000,0.0000,0.0000,0
CWE-273,0.0000,0.0000,0.0000,1
CWE-749,0.0000,0.0000,0.0000,0
CWE-36,0.0000,0.0000,0.0000,2
CWE-349,0.0000,0.0000,0.0000,0
CWE-328,0.0000,0.0000,0.0000,0
CWE-267,0.0000,0.0000,0.0000,0
CWE-778,0.0000,0.0000,0.0000,0
CWE-294,0.0000,0.0000,0.0000,5
CWE-304,0.0000,0.0000,0.0000,0
CWE-201,0.0000,0.0000,0.0000,0
CWE-378,0.0000,0.0000,0.0000,0
CWE-270,0.0000,0.0000,0.0000,0
CWE-183,0.0000,0.0000,0.0000,0
CWE-342,0.0000,0.0000,0.0000,0
