name,precision,recall,f1-score,support
CWE-294,1.0000,0.5000,0.6667,2
CWE-121,1.0000,0.5000,0.6667,2
CWE-610,1.0000,1.0000,1.0000,1
CWE-913,1.0000,0.5000,0.6667,2
CWE-252,1.0000,1.0000,1.0000,1
CWE-367,1.0000,0.6000,0.7500,5
CWE-338,1.0000,0.4000,0.5714,5
CWE-346,1.0000,0.2222,0.3636,9
CWE-697,1.0000,0.2500,0.4000,4
CWE-552,1.0000,0.1429,0.2500,7
CWE-281,1.0000,0.3333,0.5000,3
CWE-118,1.0000,1.0000,1.0000,1
CWE-776,1.0000,0.5000,0.6667,2
CWE-834,1.0000,0.2000,0.3333,5
CWE-91,1.0000,0.6667,0.8000,3
CWE-354,1.0000,0.5000,0.6667,4
CWE-89,0.9974,0.9821,0.9897,390
CWE-79,0.9841,0.9773,0.9807,1012
CWE-416,0.9655,0.9396,0.9524,149
CWE-352,0.9579,0.9630,0.9604,189
CWE-918,0.9375,0.9375,0.9375,32
CWE-134,0.9231,0.6316,0.7500,19
CWE-611,0.8810,0.9737,0.9250,38
CWE-307,0.8750,0.5385,0.6667,13
CWE-917,0.8750,0.7778,0.8235,9
CWE-674,0.8750,0.7778,0.8235,9
CWE-601,0.8750,0.7241,0.7925,29
CWE-476,0.8737,0.9022,0.8877,92
CWE-22,0.8559,0.8879,0.8716,214
CWE-310,0.8468,0.8203,0.8333,128
CWE-125,0.8404,0.8272,0.8338,191
CWE-908,0.8333,0.8333,0.8333,6
CWE-665,0.8333,0.4545,0.5882,11
CWE-617,0.8333,0.4167,0.5556,12
CWE-59,0.8182,0.7660,0.7912,47
CWE-119,0.8159,0.8328,0.8243,628
CWE-295,0.8095,0.8293,0.8193,41
CWE-427,0.8000,0.5455,0.6486,22
CWE-787,0.8000,0.8382,0.8187,272
CWE-190,0.8000,0.8372,0.8182,86
CWE-369,0.7857,0.9167,0.8462,12
CWE-502,0.7805,0.8889,0.8312,36
CWE-915,0.7500,1.0000,0.8571,9
CWE-384,0.7500,0.7500,0.7500,8
CWE-444,0.7500,0.5455,0.6316,11
CWE-824,0.7500,0.8571,0.8000,7
CWE-843,0.7500,0.5455,0.6316,11
CWE-798,0.7429,0.8667,0.8000,30
CWE-120,0.7241,0.4375,0.5455,48
CWE-415,0.7222,0.8125,0.7647,16
CWE-189,0.7059,0.7164,0.7111,67
CWE-434,0.7000,0.5833,0.6364,60
CWE-200,0.6816,0.7918,0.7326,365
CWE-77,0.6774,0.4565,0.5455,46
CWE-94,0.6714,0.6309,0.6505,149
CWE-78,0.6698,0.8068,0.7320,88
CWE-347,0.6667,0.5455,0.6000,11
CWE-788,0.6667,0.6667,0.6667,3
CWE-436,0.6667,0.6667,0.6667,3
CWE-704,0.6667,0.8889,0.7619,9
CWE-191,0.6667,0.3333,0.4444,6
CWE-362,0.6667,0.8333,0.7407,36
CWE-494,0.6667,0.6667,0.6667,3
CWE-122,0.6667,0.6667,0.6667,3
CWE-532,0.6250,0.7692,0.6897,13
CWE-1021,0.6250,0.6250,0.6250,8
CWE-129,0.6250,0.3333,0.4348,15
CWE-640,0.6250,0.7143,0.6667,7
CWE-264,0.6128,0.6618,0.6364,275
CWE-255,0.6071,0.5152,0.5574,33
CWE-312,0.6000,0.3529,0.4444,17
CWE-88,0.6000,0.7500,0.6667,4
CWE-401,0.6000,0.5455,0.5714,11
CWE-772,0.6000,0.5769,0.5882,26
CWE-755,0.6000,0.5000,0.5455,12
CWE-319,0.5833,0.5833,0.5833,24
CWE-835,0.5789,0.7333,0.6471,15
CWE-399,0.5673,0.6340,0.5988,153
CWE-1236,0.5556,0.7143,0.6250,7
CWE-330,0.5556,0.3846,0.4545,13
CWE-426,0.5455,0.7059,0.6154,17
CWE-287,0.5396,0.5814,0.5597,129
CWE-20,0.5342,0.5629,0.5482,485
CWE-754,0.5000,0.4000,0.4444,10
CWE-425,0.5000,0.2000,0.2857,5
CWE-209,0.5000,0.3750,0.4286,8
CWE-862,0.4884,0.4038,0.4421,52
CWE-522,0.4667,0.5600,0.5091,25
CWE-269,0.4565,0.5753,0.5091,73
CWE-326,0.4545,0.3125,0.3704,16
CWE-327,0.4545,0.4545,0.4545,22
CWE-306,0.4211,0.5333,0.4706,30
CWE-428,0.4000,0.6667,0.5000,3
CWE-193,0.4000,1.0000,0.5714,2
CWE-276,0.4000,0.4000,0.4000,30
CWE-284,0.3939,0.2321,0.2921,56
CWE-74,0.3421,0.4815,0.4000,27
CWE-667,0.3333,0.2500,0.2857,4
CWE-290,0.3333,0.1250,0.1818,8
CWE-521,0.3333,0.1667,0.2222,6
CWE-404,0.3333,0.1667,0.2222,6
CWE-770,0.3333,0.1000,0.1538,20
CWE-922,0.3333,0.6667,0.4444,3
CWE-275,0.3333,0.5000,0.4000,2
CWE-203,0.3333,0.2222,0.2667,9
CWE-400,0.3175,0.4082,0.3571,49
CWE-863,0.3171,0.3939,0.3514,33
CWE-732,0.2889,0.3714,0.3250,35
CWE-639,0.2857,0.5000,0.3636,4
CWE-613,0.2500,0.1429,0.1818,7
CWE-285,0.2500,0.1429,0.1818,7
CWE-1188,0.2500,0.2500,0.2500,4
CWE-254,0.2353,0.1290,0.1667,31
CWE-19,0.2222,0.1667,0.1905,12
CWE-311,0.2000,0.2000,0.2000,10
CWE-345,0.2000,0.1667,0.1818,12
CWE-668,0.2000,0.1667,0.1818,18
CWE-16,0.1250,0.0769,0.0952,13
CWE-895,0.0000,0.0000,0.0000,0
CWE-332,0.0000,0.0000,0.0000,0
CWE-208,0.0000,0.0000,0.0000,0
CWE-924,0.0000,0.0000,0.0000,0
CWE-112,0.0000,0.0000,0.0000,0
CWE-706,0.0000,0.0000,0.0000,3
CWE-457,0.0000,0.0000,0.0000,0
CWE-682,0.0000,0.0000,0.0000,3
CWE-240,0.0000,0.0000,0.0000,0
CWE-266,0.0000,0.0000,0.0000,1
CWE-353,0.0000,0.0000,0.0000,0
CWE-759,0.0000,0.0000,0.0000,0
CWE-916,0.0000,0.0000,0.0000,2
CWE-1286,0.0000,0.0000,0.0000,0
CWE-1321,0.0000,0.0000,0.0000,0
CWE-64,0.0000,0.0000,0.0000,0
CWE-325,0.0000,0.0000,0.0000,0
CWE-342,0.0000,0.0000,0.0000,0
CWE-228,0.0000,0.0000,0.0000,0
CWE-710,0.0000,0.0000,0.0000,0
CWE-317,0.0000,0.0000,0.0000,0
CWE-620,0.0000,0.0000,0.0000,0
CWE-649,0.0000,0.0000,0.0000,0
CWE-763,0.0000,0.0000,0.0000,2
CWE-257,0.0000,0.0000,0.0000,0
CWE-304,0.0000,0.0000,0.0000,0
CWE-641,0.0000,0.0000,0.0000,0
CWE-116,0.0000,0.0000,0.0000,6
CWE-212,0.0000,0.0000,0.0000,2
CWE-669,0.0000,0.0000,0.0000,2
