name,precision,recall,f1-score,support
CWE-472,1.0000,1.0000,1.0000,1
CWE-470,1.0000,0.5000,0.6667,2
CWE-90,1.0000,1.0000,1.0000,3
CWE-184,1.0000,0.5000,0.6667,2
CWE-917,1.0000,0.7500,0.8571,16
CWE-1236,1.0000,0.9231,0.9600,13
CWE-428,1.0000,0.6250,0.7692,8
CWE-256,1.0000,0.5000,0.6667,2
CWE-288,1.0000,0.5000,0.6667,2
CWE-353,1.0000,1.0000,1.0000,1
CWE-266,1.0000,1.0000,1.0000,1
CWE-776,1.0000,0.5000,0.6667,2
CWE-193,1.0000,0.8000,0.8889,5
CWE-909,1.0000,1.0000,1.0000,4
CWE-252,1.0000,0.2500,0.4000,4
CWE-89,0.9971,0.9840,0.9905,689
CWE-79,0.9839,0.9867,0.9853,1735
CWE-918,0.9787,0.9200,0.9485,50
CWE-369,0.9677,1.0000,0.9836,30
CWE-835,0.9259,0.8929,0.9091,28
CWE-843,0.9231,0.7500,0.8276,16
CWE-125,0.9203,0.8981,0.9091,373
CWE-617,0.9130,0.9130,0.9130,23
CWE-22,0.9111,0.9451,0.9278,401
CWE-611,0.9104,0.9104,0.9104,67
CWE-190,0.9070,0.9286,0.9176,168
CWE-134,0.9062,0.8056,0.8529,36
CWE-908,0.9000,0.6923,0.7826,13
CWE-203,0.9000,0.6923,0.7826,13
CWE-787,0.8938,0.9411,0.9168,492
CWE-788,0.8889,0.8889,0.8889,9
CWE-295,0.8767,0.9412,0.9078,68
CWE-476,0.8757,0.9172,0.8960,169
CWE-502,0.8592,0.9104,0.8841,67
CWE-601,0.8542,0.8542,0.8542,48
CWE-59,0.8514,0.8630,0.8571,73
CWE-307,0.8500,0.8947,0.8718,19
CWE-191,0.8462,0.5789,0.6875,19
CWE-772,0.8438,0.7500,0.7941,36
CWE-798,0.8305,0.8596,0.8448,57
CWE-78,0.8294,0.8443,0.8368,167
CWE-120,0.8205,0.7619,0.7901,84
CWE-294,0.8000,0.8000,0.8000,5
CWE-434,0.7979,0.7212,0.7576,104
CWE-319,0.7941,0.6923,0.7397,39
CWE-532,0.7931,0.8214,0.8070,28
CWE-427,0.7812,0.7143,0.7463,35
CWE-824,0.7778,1.0000,0.8750,7
CWE-94,0.7725,0.7944,0.7833,248
CWE-338,0.7500,0.4286,0.5455,7
CWE-640,0.7500,1.0000,0.8571,9
CWE-425,0.7500,0.3333,0.4615,9
CWE-521,0.7500,0.3750,0.5000,8
CWE-276,0.7451,0.6667,0.7037,57
CWE-1021,0.7000,0.5385,0.6087,13
CWE-426,0.6897,0.6667,0.6780,30
CWE-915,0.6667,0.9091,0.7692,11
CWE-367,0.6667,0.8571,0.7500,7
CWE-613,0.6667,0.6250,0.6452,16
CWE-444,0.6316,0.7500,0.6857,16
CWE-290,0.6154,0.4706,0.5333,17
CWE-770,0.6061,0.7143,0.6557,28
CWE-312,0.5938,0.7600,0.6667,25
CWE-347,0.5833,0.7778,0.6667,18
CWE-209,0.5625,0.6000,0.5806,15
CWE-346,0.5385,0.3500,0.4242,20
CWE-306,0.5000,0.7660,0.6050,47
CWE-916,0.5000,0.3333,0.4000,3
CWE-91,0.4444,0.8000,0.5714,5
CWE-639,0.4444,0.5714,0.5000,7
CWE-354,0.4000,0.3333,0.3636,6
CWE-93,0.4000,0.5000,0.4444,4
CWE-281,0.3636,0.4444,0.4000,9
CWE-1188,0.3333,0.2500,0.2857,8
CWE-331,0.3333,1.0000,0.5000,1
CWE-88,0.2727,0.5000,0.3529,6
CWE-552,0.2500,0.2500,0.2500,8
CWE-494,0.2000,0.5000,0.2857,4
CWE-385,0.0000,0.0000,0.0000,0
CWE-305,0.0000,0.0000,0.0000,0
CWE-497,0.0000,0.0000,0.0000,0
CWE-214,0.0000,0.0000,0.0000,0
CWE-641,0.0000,0.0000,0.0000,0
CWE-170,0.0000,0.0000,0.0000,1
CWE-807,0.0000,0.0000,0.0000,0
CWE-603,0.0000,0.0000,0.0000,0
CWE-364,0.0000,0.0000,0.0000,0
CWE-96,0.0000,0.0000,0.0000,0
CWE-130,0.0000,0.0000,0.0000,0
CWE-694,0.0000,0.0000,0.0000,0
CWE-920,0.0000,0.0000,0.0000,1
CWE-540,0.0000,0.0000,0.0000,0
CWE-112,0.0000,0.0000,0.0000,0
CWE-757,0.0000,0.0000,0.0000,0
CWE-303,0.0000,0.0000,0.0000,0
CWE-242,0.0000,0.0000,0.0000,0
CWE-838,0.0000,0.0000,0.0000,0
CWE-250,0.0000,0.0000,0.0000,2
CWE-124,0.0000,0.0000,0.0000,0
CWE-620,0.0000,0.0000,0.0000,0
CWE-379,0.0000,0.0000,0.0000,0
CWE-440,0.0000,0.0000,0.0000,0
CWE-335,0.0000,0.0000,0.0000,2
CWE-489,0.0000,0.0000,0.0000,0
CWE-131,0.0000,0.0000,0.0000,2
CWE-459,0.0000,0.0000,0.0000,5
CWE-822,0.0000,0.0000,0.0000,0
CWE-334,0.0000,0.0000,0.0000,0
CWE-358,0.0000,0.0000,0.0000,5
CWE-823,0.0000,0.0000,0.0000,0
CWE-565,0.0000,0.0000,0.0000,2
CWE-261,0.0000,0.0000,0.0000,1
CWE-649,0.0000,0.0000,0.0000,0
CWE-248,0.0000,0.0000,0.0000,0
CWE-924,0.0000,0.0000,0.0000,0
CWE-829,0.0000,0.0000,0.0000,6
CWE-507,0.0000,0.0000,0.0000,0
CWE-708,0.0000,0.0000,0.0000,1
CWE-208,0.0000,0.0000,0.0000,0
