name,precision,recall,f1-score,support
CWE-331,1.0000,1.0000,1.0000,1
CWE-776,1.0000,0.5000,0.6667,2
CWE-338,1.0000,0.4286,0.6000,7
CWE-294,1.0000,0.6000,0.7500,5
CWE-266,1.0000,1.0000,1.0000,1
CWE-252,1.0000,0.2500,0.4000,4
CWE-184,1.0000,0.5000,0.6667,2
CWE-256,1.0000,0.5000,0.6667,2
CWE-353,1.0000,1.0000,1.0000,1
CWE-288,1.0000,0.5000,0.6667,2
CWE-470,1.0000,0.5000,0.6667,2
CWE-472,1.0000,1.0000,1.0000,1
CWE-763,1.0000,0.3333,0.5000,3
CWE-193,1.0000,0.6000,0.7500,5
CWE-788,1.0000,0.8889,0.9412,9
CWE-90,1.0000,1.0000,1.0000,3
CWE-843,1.0000,0.6875,0.8148,16
CWE-89,0.9956,0.9855,0.9905,689
CWE-79,0.9840,0.9902,0.9871,1735
CWE-369,0.9667,0.9667,0.9667,30
CWE-190,0.9630,0.9286,0.9455,168
CWE-918,0.9592,0.9400,0.9495,50
CWE-59,0.9403,0.8630,0.9000,73
CWE-134,0.9375,0.8333,0.8824,36
CWE-835,0.9259,0.8929,0.9091,28
CWE-1236,0.9231,0.9231,0.9231,13
CWE-787,0.9175,0.9268,0.9221,492
CWE-917,0.9167,0.6875,0.7857,16
CWE-611,0.9143,0.9552,0.9343,67
CWE-125,0.9062,0.9330,0.9194,373
CWE-22,0.9050,0.9501,0.9270,401
CWE-476,0.9029,0.9349,0.9186,169
CWE-908,0.9000,0.6923,0.7826,13
CWE-502,0.8971,0.9104,0.9037,67
CWE-824,0.8750,1.0000,0.9333,7
CWE-640,0.8750,0.7778,0.8235,9
CWE-532,0.8519,0.8214,0.8364,28
CWE-307,0.8421,0.8421,0.8421,19
CWE-617,0.8333,0.8696,0.8511,23
CWE-915,0.8333,0.9091,0.8696,11
CWE-428,0.8333,0.6250,0.7143,8
CWE-295,0.8333,0.9559,0.8904,68
CWE-601,0.8302,0.9167,0.8713,48
CWE-78,0.8192,0.8683,0.8430,167
CWE-203,0.8182,0.6923,0.7500,13
CWE-191,0.8125,0.6842,0.7429,19
CWE-909,0.8000,1.0000,0.8889,4
CWE-319,0.7949,0.7949,0.7949,39
CWE-798,0.7937,0.8772,0.8333,57
CWE-120,0.7841,0.8214,0.8023,84
