name,precision,recall,f1-score,support
CWE-134,1.0000,0.5789,0.7333,19
CWE-77,1.0000,0.1304,0.2308,46
CWE-79,0.9623,0.9575,0.9599,1012
CWE-190,0.8684,0.3837,0.5323,86
CWE-22,0.7568,0.6542,0.7018,214
CWE-89,0.7434,0.8692,0.8014,390
CWE-362,0.7391,0.4722,0.5763,36
CWE-94,0.6711,0.3423,0.4533,149
CWE-502,0.6667,0.0556,0.1026,36
CWE-189,0.6250,0.7463,0.6803,67
CWE-426,0.5833,0.4118,0.4828,17
CWE-352,0.5367,0.7354,0.6205,189
CWE-119,0.5349,0.7070,0.6091,628
CWE-269,0.5143,0.2466,0.3333,73
CWE-416,0.5079,0.6443,0.5680,149
CWE-772,0.5000,0.1154,0.1875,26
CWE-476,0.4583,0.1196,0.1897,92
CWE-399,0.3778,0.2222,0.2798,153
CWE-787,0.3366,0.3824,0.3580,272
CWE-862,0.2667,0.0769,0.1194,52
CWE-310,0.2649,0.6250,0.3721,128
CWE-125,0.2558,0.4031,0.3130,191
CWE-264,0.2323,0.3927,0.2919,275
CWE-78,0.2051,0.0909,0.1260,88
CWE-20,0.1976,0.3691,0.2574,485
CWE-200,0.1856,0.4603,0.2646,365
CWE-863,0.1667,0.0303,0.0513,33
CWE-434,0.1429,0.0167,0.0299,60
CWE-522,0.1250,0.0800,0.0976,25
CWE-287,0.0826,0.0698,0.0756,129
CWE-257,0.0000,0.0000,0.0000,0
CWE-91,0.0000,0.0000,0.0000,3
CWE-347,0.0000,0.0000,0.0000,11
CWE-212,0.0000,0.0000,0.0000,2
CWE-639,0.0000,0.0000,0.0000,4
CWE-129,0.0000,0.0000,0.0000,15
CWE-313,0.0000,0.0000,0.0000,0
CWE-306,0.0000,0.0000,0.0000,30
CWE-943,0.0000,0.0000,0.0000,0
CWE-319,0.0000,0.0000,0.0000,24
CWE-552,0.0000,0.0000,0.0000,7
CWE-789,0.0000,0.0000,0.0000,0
CWE-270,0.0000,0.0000,0.0000,0
CWE-304,0.0000,0.0000,0.0000,0
CWE-116,0.0000,0.0000,0.0000,6
CWE-367,0.0000,0.0000,0.0000,5
CWE-838,0.0000,0.0000,0.0000,0
CWE-42,0.0000,0.0000,0.0000,0
CWE-271,0.0000,0.0000,0.0000,0
CWE-472,0.0000,0.0000,0.0000,0
CWE-326,0.0000,0.0000,0.0000,16
CWE-320,0.0000,0.0000,0.0000,3
CWE-669,0.0000,0.0000,0.0000,2
CWE-346,0.0000,0.0000,0.0000,9
CWE-361,0.0000,0.0000,0.0000,0
CWE-311,0.0000,0.0000,0.0000,10
CWE-130,0.0000,0.0000,0.0000,0
CWE-23,0.0000,0.0000,0.0000,0
CWE-674,0.0000,0.0000,0.0000,9
CWE-688,0.0000,0.0000,0.0000,0
CWE-798,0.0000,0.0000,0.0000,30
CWE-603,0.0000,0.0000,0.0000,0
CWE-98,0.0000,0.0000,0.0000,0
CWE-303,0.0000,0.0000,0.0000,0
CWE-525,0.0000,0.0000,0.0000,0
CWE-470,0.0000,0.0000,0.0000,0
CWE-242,0.0000,0.0000,0.0000,0
CWE-908,0.0000,0.0000,0.0000,6
CWE-613,0.0000,0.0000,0.0000,7
CWE-417,0.0000,0.0000,0.0000,0
CWE-75,0.0000,0.0000,0.0000,0
CWE-917,0.0000,0.0000,0.0000,9
CWE-760,0.0000,0.0000,0.0000,0
CWE-302,0.0000,0.0000,0.0000,0
CWE-358,0.0000,0.0000,0.0000,2
CWE-259,0.0000,0.0000,0.0000,0
CWE-327,0.0000,0.0000,0.0000,22
CWE-918,0.0000,0.0000,0.0000,32
CWE-834,0.0000,0.0000,0.0000,5
CWE-401,0.0000,0.0000,0.0000,11
CWE-267,0.0000,0.0000,0.0000,0
CWE-1278,0.0000,0.0000,0.0000,0
CWE-805,0.0000,0.0000,0.0000,0
CWE-909,0.0000,0.0000,0.0000,1
CWE-507,0.0000,0.0000,0.0000,0
CWE-331,0.0000,0.0000,0.0000,0
CWE-441,0.0000,0.0000,0.0000,0
CWE-122,0.0000,0.0000,0.0000,3
CWE-1188,0.0000,0.0000,0.0000,4
CWE-123,0.0000,0.0000,0.0000,2
CWE-707,0.0000,0.0000,0.0000,1
CWE-323,0.0000,0.0000,0.0000,0
CWE-256,0.0000,0.0000,0.0000,0
CWE-835,0.0000,0.0000,0.0000,15
CWE-1076,0.0000,0.0000,0.0000,1
CWE-920,0.0000,0.0000,0.0000,0
CWE-664,0.0000,0.0000,0.0000,0
CWE-644,0.0000,0.0000,0.0000,0
CWE-193,0.0000,0.0000,0.0000,2
CWE-497,0.0000,0.0000,0.0000,0
CWE-276,0.0000,0.0000,0.0000,30
CWE-275,0.0000,0.0000,0.0000,2
CWE-73,0.0000,0.0000,0.0000,0
CWE-268,0.0000,0.0000,0.0000,0
CWE-90,0.0000,0.0000,0.0000,2
CWE-590,0.0000,0.0000,0.0000,0
CWE-172,0.0000,0.0000,0.0000,0
CWE-201,0.0000,0.0000,0.0000,0
CWE-444,0.0000,0.0000,0.0000,11
CWE-532,0.0000,0.0000,0.0000,13
CWE-126,0.0000,0.0000,0.0000,1
