name,precision,recall,f1-score,support
CWE-345,0.9497,0.3899,0.5528,436
CWE-362,0.9189,0.3820,0.5397,89
CWE-74,0.8980,0.8977,0.8978,3128
CWE-190,0.8261,0.3631,0.5044,157
CWE-673,0.8235,0.4667,0.5957,30
CWE-913,0.7329,0.3026,0.4283,390
CWE-706,0.6176,0.4851,0.5434,536
CWE-118,0.5659,0.8722,0.6864,2550
CWE-668,0.2631,0.5550,0.3570,1137
CWE-20,0.2094,0.2681,0.2351,966
CWE-287,0.2000,0.0158,0.0294,442
CWE-326,0.0000,0.0000,0.0000,27
CWE-573,0.0000,0.0000,0.0000,37
CWE-327,0.0000,0.0000,0.0000,39
CWE-330,0.0000,0.0000,0.0000,36
CWE-670,0.0000,0.0000,0.0000,24
CWE-436,0.0000,0.0000,0.0000,18
CWE-369,0.0000,0.0000,0.0000,23
CWE-666,0.0000,0.0000,0.0000,15
CWE-799,0.0000,0.0000,0.0000,22
CWE-674,0.0000,0.0000,0.0000,14
CWE-684,0.0000,0.0000,0.0000,18
CWE-922,0.0000,0.0000,0.0000,36
CWE-862,0.0000,0.0000,0.0000,92
CWE-755,0.0000,0.0000,0.0000,37
CWE-704,0.0000,0.0000,0.0000,41
CWE-834,0.0000,0.0000,0.0000,40
CWE-311,0.0000,0.0000,0.0000,51
CWE-657,0.0000,0.0000,0.0000,71
CWE-665,0.0000,0.0000,0.0000,96
CWE-404,0.0000,0.0000,0.0000,94
CWE-400,0.0000,0.0000,0.0000,100
CWE-285,0.0000,0.0000,0.0000,102
CWE-669,0.0000,0.0000,0.0000,118
CWE-269,0.0000,0.0000,0.0000,158
CWE-754,0.0000,0.0000,0.0000,216
CWE-610,0.0000,0.0000,0.0000,215
CWE-191,0.0000,0.0000,0.0000,10
