name,precision,recall,f1-score,support
CWE-917,1.0000,0.6250,0.7692,16
CWE-281,1.0000,0.1111,0.2000,9
CWE-1236,1.0000,0.0769,0.1429,13
CWE-788,1.0000,0.8889,0.9412,9
CWE-79,0.9645,0.9712,0.9678,1735
CWE-89,0.9473,0.9652,0.9561,689
CWE-476,0.9202,0.8876,0.9036,169
CWE-22,0.8463,0.8928,0.8689,401
CWE-125,0.8317,0.8874,0.8586,373
CWE-787,0.8031,0.8537,0.8276,492
CWE-190,0.7906,0.8988,0.8412,168
CWE-134,0.7667,0.6389,0.6970,36
CWE-434,0.7500,0.5769,0.6522,104
CWE-94,0.7339,0.6895,0.7110,248
CWE-59,0.7313,0.6712,0.7000,73
CWE-426,0.7037,0.6333,0.6667,30
CWE-611,0.6866,0.6866,0.6866,67
CWE-120,0.6818,0.5357,0.6000,84
CWE-601,0.6316,0.7500,0.6857,48
CWE-369,0.6000,0.3000,0.4000,30
CWE-78,0.5606,0.6647,0.6082,167
CWE-428,0.5000,0.1250,0.2000,8
CWE-209,0.5000,0.2667,0.3478,15
CWE-918,0.4444,0.6400,0.5246,50
CWE-427,0.4286,0.5143,0.4675,35
CWE-502,0.4286,0.4478,0.4380,67
CWE-915,0.4000,0.1818,0.2500,11
CWE-772,0.3636,0.5556,0.4396,36
CWE-295,0.3459,0.6765,0.4577,68
CWE-276,0.2647,0.4737,0.3396,57
CWE-798,0.2516,0.7018,0.3704,57
CWE-312,0.2326,0.4000,0.2941,25
CWE-835,0.1702,0.2857,0.2133,28
CWE-908,0.1481,0.3077,0.2000,13
CWE-319,0.1429,0.0256,0.0435,39
CWE-306,0.1159,0.1702,0.1379,47
CWE-532,0.0794,0.1786,0.1099,28
CWE-770,0.0769,0.0714,0.0741,28
CWE-193,0.0000,0.0000,0.0000,5
CWE-335,0.0000,0.0000,0.0000,2
CWE-681,0.0000,0.0000,0.0000,5
CWE-1285,0.0000,0.0000,0.0000,0
CWE-124,0.0000,0.0000,0.0000,0
CWE-353,0.0000,0.0000,0.0000,1
CWE-131,0.0000,0.0000,0.0000,2
CWE-96,0.0000,0.0000,0.0000,0
CWE-367,0.0000,0.0000,0.0000,7
CWE-565,0.0000,0.0000,0.0000,2
CWE-290,0.0000,0.0000,0.0000,17
CWE-261,0.0000,0.0000,0.0000,1
CWE-1021,0.0000,0.0000,0.0000,13
CWE-472,0.0000,0.0000,0.0000,1
CWE-242,0.0000,0.0000,0.0000,0
CWE-331,0.0000,0.0000,0.0000,1
CWE-613,0.0000,0.0000,0.0000,16
CWE-1188,0.0000,0.0000,0.0000,8
CWE-358,0.0000,0.0000,0.0000,5
CWE-822,0.0000,0.0000,0.0000,0
CWE-540,0.0000,0.0000,0.0000,0
CWE-203,0.0000,0.0000,0.0000,13
CWE-497,0.0000,0.0000,0.0000,0
CWE-214,0.0000,0.0000,0.0000,0
CWE-641,0.0000,0.0000,0.0000,0
CWE-93,0.0000,0.0000,0.0000,4
CWE-170,0.0000,0.0000,0.0000,1
CWE-916,0.0000,0.0000,0.0000,3
CWE-807,0.0000,0.0000,0.0000,0
CWE-603,0.0000,0.0000,0.0000,0
CWE-364,0.0000,0.0000,0.0000,0
CWE-130,0.0000,0.0000,0.0000,0
CWE-91,0.0000,0.0000,0.0000,5
CWE-694,0.0000,0.0000,0.0000,0
CWE-920,0.0000,0.0000,0.0000,1
CWE-112,0.0000,0.0000,0.0000,0
CWE-303,0.0000,0.0000,0.0000,0
CWE-184,0.0000,0.0000,0.0000,2
CWE-305,0.0000,0.0000,0.0000,0
CWE-757,0.0000,0.0000,0.0000,0
CWE-494,0.0000,0.0000,0.0000,4
CWE-838,0.0000,0.0000,0.0000,0
CWE-250,0.0000,0.0000,0.0000,2
CWE-620,0.0000,0.0000,0.0000,0
CWE-379,0.0000,0.0000,0.0000,0
