name,precision,recall,f1-score,support
CWE-266,1.0000,1.0000,1.0000,1
CWE-134,1.0000,0.7368,0.8485,19
CWE-754,1.0000,0.2000,0.3333,10
CWE-610,1.0000,1.0000,1.0000,1
CWE-191,1.0000,0.3333,0.5000,6
CWE-667,1.0000,0.2500,0.4000,4
CWE-338,1.0000,0.4000,0.5714,5
CWE-354,1.0000,0.2500,0.4000,4
CWE-367,1.0000,0.4000,0.5714,5
CWE-294,1.0000,0.5000,0.6667,2
CWE-494,1.0000,0.3333,0.5000,3
CWE-89,0.9897,0.9821,0.9858,390
CWE-352,0.9728,0.9471,0.9598,189
CWE-79,0.9669,0.9822,0.9745,1012
CWE-416,0.8973,0.8792,0.8881,149
CWE-918,0.8824,0.9375,0.9091,32
CWE-22,0.8791,0.8832,0.8811,214
CWE-59,0.8571,0.7660,0.8090,47
CWE-917,0.8571,0.6667,0.7500,9
CWE-502,0.8438,0.7500,0.7941,36
CWE-611,0.8372,0.9474,0.8889,38
CWE-476,0.8200,0.8913,0.8542,92
CWE-190,0.8068,0.8256,0.8161,86
CWE-1236,0.8000,0.5714,0.6667,7
CWE-310,0.7923,0.8047,0.7984,128
CWE-125,0.7824,0.7906,0.7865,191
CWE-427,0.7778,0.6364,0.7000,22
CWE-369,0.7692,0.8333,0.8000,12
CWE-601,0.7586,0.7586,0.7586,29
CWE-119,0.7525,0.7309,0.7415,628
CWE-307,0.7500,0.4615,0.5714,13
CWE-843,0.7500,0.2727,0.4000,11
CWE-824,0.7500,0.4286,0.5455,7
CWE-444,0.7500,0.5455,0.6316,11
CWE-347,0.7500,0.5455,0.6316,11
CWE-798,0.7273,0.8000,0.7619,30
CWE-915,0.7273,0.8889,0.8000,9
CWE-772,0.7059,0.4615,0.5581,26
CWE-295,0.7021,0.8049,0.7500,41
CWE-362,0.6889,0.8611,0.7654,36
CWE-908,0.6667,0.6667,0.6667,6
CWE-788,0.6667,0.6667,0.6667,3
CWE-834,0.6667,0.4000,0.5000,5
CWE-787,0.6606,0.8015,0.7243,272
CWE-189,0.6447,0.7313,0.6853,67
CWE-434,0.6379,0.6167,0.6271,60
CWE-203,0.6250,0.5556,0.5882,9
CWE-835,0.6111,0.7333,0.6667,15
CWE-426,0.6111,0.6471,0.6286,17
CWE-200,0.6031,0.7534,0.6699,365
CWE-665,0.6000,0.2727,0.3750,11
CWE-209,0.6000,0.3750,0.4615,8
CWE-617,0.6000,0.5000,0.5455,12
CWE-674,0.6000,0.6667,0.6316,9
CWE-613,0.6000,0.4286,0.5000,7
CWE-862,0.5938,0.3654,0.4524,52
CWE-319,0.5882,0.4167,0.4878,24
CWE-94,0.5811,0.5772,0.5791,149
CWE-77,0.5789,0.2391,0.3385,46
CWE-1021,0.5714,0.5000,0.5333,8
CWE-264,0.5647,0.6509,0.6047,275
CWE-312,0.5556,0.2941,0.3846,17
CWE-704,0.5385,0.7778,0.6364,9
CWE-120,0.5385,0.4375,0.4828,48
CWE-415,0.5238,0.6875,0.5946,16
CWE-78,0.5115,0.7614,0.6119,88
CWE-330,0.5000,0.2308,0.3158,13
CWE-639,0.5000,0.5000,0.5000,4
CWE-922,0.5000,0.3333,0.4000,3
CWE-193,0.5000,0.5000,0.5000,2
CWE-401,0.4706,0.7273,0.5714,11
CWE-399,0.4672,0.4183,0.4414,153
CWE-287,0.4621,0.4729,0.4674,129
CWE-269,0.4588,0.5342,0.4937,73
CWE-326,0.4545,0.3125,0.3704,16
CWE-20,0.4427,0.5093,0.4736,485
CWE-327,0.4211,0.3636,0.3902,22
CWE-290,0.4000,0.2500,0.3077,8
CWE-428,0.4000,0.6667,0.5000,3
CWE-640,0.4000,0.2857,0.3333,7
CWE-284,0.4000,0.1429,0.2105,56
