name,precision,recall,f1-score,support
CWE-191,1.0000,0.1000,0.1818,10
CWE-369,1.0000,0.6957,0.8205,23
CWE-74,0.9399,0.9597,0.9497,3128
CWE-704,0.9167,0.8049,0.8571,41
CWE-362,0.9130,0.7079,0.7975,89
CWE-706,0.9077,0.8806,0.8939,536
CWE-345,0.9017,0.8417,0.8707,436
CWE-118,0.8924,0.9235,0.9077,2550
CWE-573,0.8889,0.6486,0.7500,37
CWE-754,0.8357,0.8009,0.8180,216
CWE-674,0.8333,0.3571,0.5000,14
CWE-190,0.8333,0.8917,0.8615,157
CWE-436,0.8000,0.4444,0.5714,18
CWE-670,0.7778,0.5833,0.6667,24
CWE-610,0.7675,0.8140,0.7901,215
CWE-669,0.7609,0.5932,0.6667,118
CWE-684,0.7500,0.3333,0.4615,18
CWE-404,0.7176,0.6489,0.6816,94
CWE-834,0.7000,0.8750,0.7778,40
CWE-330,0.6800,0.4722,0.5574,36
CWE-913,0.6744,0.6692,0.6718,390
CWE-668,0.6641,0.7634,0.7103,1137
CWE-657,0.6486,0.6761,0.6621,71
CWE-799,0.6364,0.3182,0.4242,22
CWE-673,0.6333,0.6333,0.6333,30
CWE-287,0.6235,0.6968,0.6581,442
CWE-269,0.5725,0.4747,0.5190,158
CWE-20,0.5717,0.5983,0.5847,966
CWE-327,0.5652,0.3333,0.4194,39
CWE-326,0.5556,0.1852,0.2778,27
CWE-755,0.5000,0.1351,0.2128,37
CWE-665,0.4773,0.2188,0.3000,96
CWE-862,0.4750,0.2065,0.2879,92
CWE-311,0.4324,0.3137,0.3636,51
CWE-285,0.4138,0.3529,0.3810,102
CWE-400,0.3491,0.3700,0.3592,100
CWE-666,0.3333,0.0667,0.1111,15
CWE-922,0.0000,0.0000,0.0000,36
