Technique,count
Input Capture: Keylogging,130
Credentials from Password Stores: Credentials from Web Browsers,71
OS Credential Dumping: LSASS Memory,55
Credentials from Password Stores,27
Unsecured Credentials: Credentials In Files,26
OS Credential Dumping: Security Account Manager,23
Brute Force,18
OS Credential Dumping: LSA Secrets,17
OS Credential Dumping: NTDS,15
Network Sniffing,15
OS Credential Dumping,15
Unsecured Credentials: Private Keys,13
Brute Force: Password Spraying,13
Credentials from Password Stores: Windows Credential Manager,12
Input Capture: Credential API Hooking,11
Input Capture: GUI Input Capture,10
Brute Force: Password Guessing,10
Steal Web Session Cookie,10
Steal or Forge Kerberos Tickets: Kerberoasting,8
OS Credential Dumping: Cached Domain Credentials,8
Unsecured Credentials: Credentials in Registry,7
Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay,7
Credentials from Password Stores: Keychain,6
Credentials from Password Stores: Password Managers,6
Brute Force: Password Cracking,6
OS Credential Dumping: DCSync,5
Multi-Factor Authentication Interception,5
Input Capture,4
Forced Authentication,3
Steal or Forge Kerberos Tickets: Silver Ticket,3
Steal or Forge Kerberos Tickets: Golden Ticket,3
Modify Authentication Process,3
Steal or Forge Authentication Certificates,3
Unsecured Credentials: Cloud Instance Metadata API,3
Unsecured Credentials: Group Policy Preferences,3
Steal Application Access Token,3
Brute Force: Credential Stuffing,2
Modify Authentication Process: Pluggable Authentication Modules,2
Multi-Factor Authentication Request Generation,2
Adversary-in-the-Middle,2
Modify Authentication Process: Hybrid Identity,2
Forge Web Credentials: SAML Tokens,2
OS Credential Dumping: Proc Filesystem,2
Modify Authentication Process: Password Filter DLL,2
Modify Authentication Process: Domain Controller Authentication,2
Forge Web Credentials: Web Cookies,1
Adversary-in-the-Middle: ARP Cache Poisoning,1
Credentials from Password Stores: Securityd Memory,1
Unsecured Credentials,1
Modify Authentication Process: Network Device Authentication,1
Unsecured Credentials: Bash History,1
Input Capture: Web Portal Capture,1
Unsecured Credentials: Container API,1
OS Credential Dumping: /etc/passwd and /etc/shadow,1
Modify Authentication Process: Multi-Factor Authentication,1
Forge Web Credentials,0
Adversary-in-the-Middle: DHCP Spoofing,0
Steal or Forge Kerberos Tickets,0
Steal or Forge Kerberos Tickets: AS-REP Roasting,0
Modify Authentication Process: Reversible Encryption,0
Exploitation for Credential Access,0
