CWE-ID,COUNT
CWE-79,17261
CWE-119,11474
CWE-20,8535
CWE-89,6906
CWE-200,6735
CWE-264,5321
CWE-787,5116
CWE-22,4081
CWE-125,3808
CWE-352,3310
CWE-94,2692
CWE-399,2645
CWE-416,2516
CWE-310,2486
CWE-287,2481
CWE-78,1887
CWE-190,1700
CWE-476,1590
CWE-269,1331
CWE-189,1294
CWE-284,1039
CWE-434,1002
CWE-362,984
CWE-400,966
CWE-120,954
CWE-863,930
CWE-732,812
CWE-59,782
CWE-77,768
CWE-255,740
CWE-862,731
CWE-798,708
CWE-502,689
CWE-611,681
CWE-295,679
CWE-522,634
CWE-306,571
CWE-74,564
CWE-601,532
CWE-918,509
CWE-276,507
CWE-254,419
CWE-835,401
CWE-426,373
CWE-772,368
CWE-532,365
CWE-668,351
CWE-319,347
CWE-427,338
CWE-415,311
CWE-770,299
CWE-401,298
CWE-312,271
CWE-16,267
CWE-755,264
CWE-327,257
CWE-134,257
CWE-326,237
CWE-347,235
CWE-19,229
CWE-369,224
CWE-617,213
CWE-843,198
CWE-908,192
CWE-203,192
CWE-384,189
CWE-345,188
CWE-704,187
CWE-129,179
CWE-311,177
CWE-665,169
CWE-209,166
CWE-639,151
CWE-613,151
CWE-330,150
CWE-307,150
CWE-754,147
CWE-346,144
CWE-917,135
CWE-674,135
CWE-1021,129
CWE-191,128
CWE-444,116
CWE-404,116
CWE-1236,108
CWE-88,107
CWE-915,104
CWE-285,102
CWE-1188,100
CWE-290,100
CWE-640,99
CWE-552,98
CWE-367,97
CWE-281,94
CWE-824,91
CWE-521,89
CWE-428,87
CWE-116,81
CWE-121,79
CWE-922,76
CWE-425,74
CWE-122,73
CWE-610,68
CWE-909,63
CWE-788,63
CWE-275,62
CWE-834,62
CWE-667,61
CWE-91,59
CWE-294,56
CWE-829,56
CWE-682,54
CWE-494,53
CWE-354,52
CWE-459,51
CWE-338,51
CWE-681,49
CWE-193,49
CWE-693,43
CWE-916,42
CWE-252,41
CWE-320,38
CWE-131,37
CWE-763,36
CWE-706,35
CWE-93,35
CWE-388,35
CWE-697,34
CWE-331,34
CWE-776,33
CWE-670,32
CWE-669,29
CWE-358,27
CWE-662,26
CWE-436,24
CWE-212,23
CWE-565,23
CWE-913,22
CWE-113,21
CWE-417,15
CWE-123,15
CWE-379,15
CWE-273,14
CWE-672,14
CWE-266,13
CWE-335,13
CWE-118,13
CWE-185,13
CWE-184,12
CWE-80,12
CWE-749,12
CWE-377,11
CWE-90,11
CWE-61,11
CWE-23,10
CWE-126,10
CWE-538,10
CWE-297,10
CWE-172,9
CWE-288,9
CWE-822,9
CWE-321,9
CWE-470,8
CWE-332,8
CWE-256,8
CWE-472,7
CWE-361,7
CWE-924,7
CWE-73,7
CWE-178,7
CWE-199,6
CWE-441,6
CWE-250,6
CWE-838,6
CWE-471,5
CWE-36,5
CWE-378,5
CWE-305,5
CWE-259,5
CWE-99,5
CWE-201,5
CWE-117,4
CWE-943,4
CWE-170,4
CWE-680,4
CWE-548,3
CWE-407,3
CWE-1321,3
CWE-300,3
CWE-920,3
CWE-799,3
CWE-707,3
CWE-497,3
CWE-789,3
CWE-823,3
CWE-303,3
CWE-385,3
CWE-489,3
CWE-1284,2
CWE-248,2
CWE-1286,2
CWE-405,2
CWE-283,2
CWE-359,2
CWE-805,2
CWE-349,2
CWE-240,2
CWE-353,2
CWE-342,2
CWE-642,2
CWE-270,2
CWE-807,2
CWE-664,2
CWE-202,2
CWE-757,2
CWE-208,2
CWE-657,2
CWE-457,2
CWE-214,2
CWE-350,2
CWE-35,2
CWE-644,2
CWE-325,1
CWE-328,1
CWE-271,1
CWE-923,1
CWE-130,1
CWE-277,1
CWE-268,1
CWE-279,1
CWE-323,1
CWE-573,1
CWE-774,1
CWE-280,1
CWE-267,1
CWE-775,1
CWE-527,1
CWE-313,1
CWE-304,1
CWE-302,1
CWE-315,1
CWE-539,1
CWE-778,1
CWE-540,1
CWE-299,1
CWE-87,1
CWE-506,1
CWE-895,1
CWE-316,1
CWE-1278,1
CWE-1004,1
CWE-317,1
CWE-525,1
CWE-1285,1
CWE-507,1
CWE-567,1
CWE-912,1
CWE-334,1
CWE-598,1
CWE-124,1
CWE-641,1
CWE-620,1
CWE-194,1
CWE-694,1
CWE-406,1
CWE-228,1
CWE-708,1
CWE-760,1
CWE-64,1
CWE-710,1
CWE-96,1
CWE-590,1
CWE-15,1
CWE-649,1
CWE-42,1
CWE-75,1
CWE-1076,1
CWE-371,1
CWE-759,1
CWE-435,1
CWE-364,1
CWE-112,1
CWE-98,1
CWE-261,1
CWE-26,1
CWE-840,1
CWE-115,1
CWE-688,1
CWE-257,1
CWE-114,1
CWE-603,1
CWE-684,1
CWE-183,1
CWE-242,1
CWE-440,1
CWE-830,0
CWE-795,0
CWE-832,0
CWE-339,0
CWE-333,0
CWE-391,0
CWE-340,0
CWE-393,0
CWE-83,0
CWE-336,0
CWE-828,0
CWE-337,0
CWE-386,0
CWE-39,0
CWE-390,0
CWE-392,0
CWE-831,0
CWE-394,0
CWE-34,0
CWE-351,0
CWE-827,0
CWE-826,0
CWE-806,0
CWE-833,0
CWE-804,0
CWE-81,0
CWE-356,0
CWE-357,0
CWE-82,0
CWE-348,0
CWE-820,0
CWE-360,0
CWE-821,0
CWE-8,0
CWE-363,0
CWE-365,0
CWE-366,0
CWE-344,0
CWE-343,0
CWE-368,0
CWE-797,0
CWE-37,0
CWE-825,0
CWE-370,0
CWE-372,0
CWE-374,0
CWE-375,0
CWE-796,0
CWE-38,0
CWE-382,0
CWE-383,0
CWE-341,0
CWE-293,0
CWE-33,0
CWE-234,0
CWE-222,0
CWE-223,0
CWE-224,0
CWE-226,0
CWE-229,0
CWE-230,0
CWE-231,0
CWE-232,0
CWE-233,0
CWE-235,0
CWE-329,0
CWE-927,0
CWE-236,0
CWE-237,0
CWE-238,0
