CWE,count
CWE-79,125
CWE-1021,115
CWE-20,111
CWE-346,73
CWE-502,68
CWE-494,67
CWE-200,56
CWE-863,45
CWE-287,41
CWE-352,35
CWE-400,33
CWE-203,31
CWE-22,28
CWE-640,24
CWE-918,22
CWE-862,20
CWE-319,19
CWE-254,17
CWE-829,17
CWE-120,16
CWE-732,14
CWE-89,13
CWE-345,12
CWE-770,11
CWE-459,9
CWE-94,8
CWE-330,8
CWE-269,7
CWE-476,7
CWE-522,7
CWE-264,7
CWE-78,7
CWE-601,7
CWE-119,7
CWE-787,6
CWE-362,6
CWE-1188,6
CWE-295,6
CWE-74,6
CWE-77,6
CWE-399,5
CWE-639,5
CWE-532,5
CWE-209,5
CWE-59,5
CWE-613,5
CWE-121,4
CWE-125,4
CWE-755,4
CWE-284,4
CWE-754,3
CWE-306,3
CWE-798,3
CWE-670,3
CWE-190,3
CWE-276,3
CWE-434,3
CWE-116,3
CWE-310,3
CWE-134,3
CWE-668,3
CWE-1333,3
CWE-312,3
CWE-444,2
CWE-113,2
CWE-441,2
CWE-290,2
CWE-674,2
CWE-285,2
CWE-307,2
CWE-281,2
CWE-565,2
CWE-835,2
CWE-326,2
CWE-1321,2
CWE-693,2
CWE-212,1
CWE-425,1
CWE-843,1
CWE-834,1
CWE-1236,1
CWE-129,1
CWE-189,1
CWE-704,1
CWE-327,1
CWE-416,1
CWE-610,1
CWE-201,1
CWE-91,1
CWE-338,1
CWE-470,1
CWE-923,1
CWE-611,1
CWE-384,1
CWE-88,1
CWE-172,1
CWE-240,1
CWE-367,1
CWE-772,1
CWE-184,1
CWE-838,1
CWE-358,1
CWE-255,1
CWE-19,1
