product,none,user,root,total,score
gitlab_gitlab,299,20,1,320,4.929999999999995
phpmailer_project_phpmailer,3,1,0,4,5.925
ruby-lang_ruby,27,0,2,29,6.117241379310346
oracle_weblogic_server,131,49,5,185,6.063243243243236
git_git-shell,0,1,0,1,6.5
openbsd_opensmtpd,0,0,1,1,10.0
jenkins_jenkins,122,11,2,135,4.886666666666665
neo4j_neo4j,0,1,0,1,7.5
openbsd_openssh,12,2,1,15,4.72
polkit_project_polkit,2,3,3,8,5.137500000000001
elastic_kibana,16,2,2,20,5.289999999999999
phpmyadmin_phpmyadmin,76,12,1,89,5.230337078651687
oracle_mysql,416,10,2,428,4.317289719626162
busybox_busybox,10,3,1,14,5.949999999999998
